"date","diff_weeks","month.day","new.year","season","region","dom_type","diff"
1997-09-27,4.32564225941767,"09-27","1997-01-01","1997-1998","Region 2","H3",0.521237428702377
1997-10-05,4.32600489565067,"10-05","1997-01-01","1997-1998","Region 2","H3",0.521281126161925
1997-10-12,4.32603066879141,"10-12","1997-01-01","1997-1998","Region 2","H3",0.521284231810706
1997-10-18,4.325726753626,"10-18","1997-01-01","1997-1998","Region 2","H3",0.521247610206361
1997-10-25,4.32510042944082,"10-25","1997-01-01","1997-1998","Region 2","H3",0.521172138498753
1997-11-01,4.32415907571178,"11-01","1997-01-01","1997-1998","Region 2","H3",0.521058705910527
1997-11-09,4.32291016769066,"11-09","1997-01-01","1997-1998","Region 2","H3",0.520908213205265
1997-11-16,4.3213612718919,"11-16","1997-01-01","1997-1998","Region 2","H3",0.520721572143649
1997-11-22,4.31952004148358,"11-22","1997-01-01","1997-1998","Region 2","H3",0.52049970492807
1997-11-29,4.31739421158689,"11-29","1997-01-01","1997-1998","Region 2","H3",0.52024354363623
1997-12-07,4.31499159448916,"12-07","1997-01-01","1997-1998","Region 2","H3",0.519954029644303
1997-12-14,4.31232007477558,"12-14","1997-01-01","1997-1998","Region 2","H3",0.519632113040312
1997-12-20,4.30938760438553,"12-20","1997-01-01","1997-1998","Region 2","H3",0.519278752028423
1997-12-27,4.30620219759981,"12-27","1997-01-01","1997-1998","Region 2","H3",0.518894912324909
1998-01-04,4.30277192596543,"01-04","1998-01-01","1997-1998","Region 2","H3",0.518481566546589
1998-01-11,4.29910491316504,"01-11","1998-01-01","1997-1998","Region 2","H3",0.518039693592594
1998-01-18,4.29520932983832,"01-18","1998-01-01","1997-1998","Region 2","H3",0.517570278020352
1998-01-24,4.29109338836313,"01-24","1998-01-01","1997-1998","Region 2","H3",0.51707430941672
1998-01-31,4.28676533760428,"01-31","1998-01-01","1997-1998","Region 2","H3",0.516552781765208
1998-02-08,4.28223345763807,"02-08","1998-01-01","1997-1998","Region 2","H3",0.516006692810294
1998-02-15,4.27750605446097,"02-15","1998-01-01","1997-1998","Region 2","H3",0.515437043419824
1998-02-21,4.27259145469072,"02-21","1998-01-01","1997-1998","Region 2","H3",0.514844836946491
1998-02-28,4.26749800026835,"02-28","1998-01-01","1997-1998","Region 2","H3",0.514231078589441
1998-03-08,4.26223404316965,"03-08","1998-01-01","1997-1998","Region 2","H3",0.513596774756998
1998-03-15,4.25680794013421,"03-15","1998-01-01","1997-1998","Region 2","H3",0.512942932431523
1998-03-21,4.2512280474206,"03-21","1998-01-01","1997-1998","Region 2","H3",0.512270558537417
1998-03-28,4.24550271559557,"03-28","1998-01-01","1997-1998","Region 2","H3",0.511580659313215
1998-04-04,4.23964028436521,"04-04","1998-01-01","1997-1998","Region 2","H3",0.510874239688753
1998-04-12,4.23364907745568,"04-12","1998-01-01","1997-1998","Region 2","H3",0.510152302668291
1998-04-19,4.22753739755074,"04-19","1998-01-01","1997-1998","Region 2","H3",0.509415848720494
1998-04-25,4.22131352129301,"04-25","1998-01-01","1997-1998","Region 2","H3",0.508665875176085
1998-05-02,4.2149856943555,"05-02","1998-01-01","1997-1998","Region 2","H3",0.507903375633965
1998-05-10,4.20856212658926,"05-10","1998-01-01","1997-1998","Region 2","H3",0.50712933937651
1998-05-17,4.20205098725291,"05-17","1998-01-01","1997-1998","Region 2","H3",0.50634475079473
1998-05-23,4.1954604003288,"05-23","1998-01-01","1997-1998","Region 2","H3",0.505550588823873
1998-05-30,4.18879843993041,"05-30","1998-01-01","1997-1998","Region 2","H3",0.504747826390014
1998-06-07,4.18207312580474,"06-07","1998-01-01","1997-1998","Region 2","H3",0.503937429868099
1998-06-14,4.17529241893282,"06-14","1998-01-01","1997-1998","Region 2","H3",0.503120358551809
1998-06-21,4.16846421723105,"06-21","1998-01-01","1997-1998","Region 2","H3",0.502297564135571
1998-06-27,4.16159635135513,"06-27","1998-01-01","1997-1998","Region 2","H3",0.501469990208938
1998-07-04,4.15469658060791,"07-04","1998-01-01","1998-1999","Region 2","H3",0.500638571763483
1998-07-12,4.1477725889516,"07-12","1998-01-01","1998-1999","Region 2","H3",0.499804234712278
1998-07-19,4.14083198112441,"07-19","1998-01-01","1998-1999","Region 2","H3",0.498967895421945
1998-07-25,4.13388227886054,"07-25","1998-01-01","1998-1999","Region 2","H3",0.498130460257172
1998-08-01,4.12693091721226,"08-01","1998-01-01","1998-1999","Region 2","H3",0.497292825137521
1998-08-09,4.11998524097175,"08-09","1998-01-01","1998-1999","Region 2","H3",0.49645587510627
1998-08-16,4.11305250119012,"08-16","1998-01-01","1998-1999","Region 2","H3",0.495620483910946
1998-08-22,4.10613985178986,"08-22","1998-01-01","1998-1999","Region 2","H3",0.494787513595135
1998-08-29,4.09925434626684,"08-29","1998-01-01","1998-1999","Region 2","H3",0.493957814101072
1998-09-05,4.09240293447722,"09-05","1998-01-01","1998-1999","Region 2","H3",0.493132222882467
1998-09-13,4.08559245950387,"09-13","1998-01-01","1998-1999","Region 2","H3",0.492311564526908
1998-09-20,4.07882965459665,"09-20","1998-01-01","1998-1999","Region 2","H3",0.491496650387168
1998-09-26,4.0721211401802,"09-26","1998-01-01","1998-1999","Region 2","H3",0.490688278220646
1998-10-03,4.06547342092247,"10-03","1998-01-01","1998-1999","Region 2","H3",0.489887231836126
1998-10-11,4.05889288285685,"10-11","1998-01-01","1998-1999","Region 2","H3",0.489094280746994
1998-10-18,4.05238579055012,"10-18","1998-01-01","1998-1999","Region 2","H3",0.488310179829978
1998-10-24,4.04595828430841,"10-24","1998-01-01","1998-1999","Region 2","H3",0.487535668988473
1998-10-31,4.03961637741283,"10-31","1998-01-01","1998-1999","Region 2","H3",0.486771472819423
1998-11-08,4.03336595337607,"11-08","1998-01-01","1998-1999","Region 2","H3",0.486018300282761
1998-11-15,4.0272127632114,"11-15","1998-01-01","1998-1999","Region 2","H3",0.485276844372308
1998-11-22,4.02116242270483,"11-22","1998-01-01","1998-1999","Region 2","H3",0.484547781787081
1998-11-28,4.01522040968145,"11-28","1998-01-01","1998-1999","Region 2","H3",0.483831772601883
1998-12-05,4.00939206125673,"12-05","1998-01-01","1998-1999","Region 2","H3",0.48312945993609
1998-12-13,4.00368257106344,"12-13","1998-01-01","1998-1999","Region 2","H3",0.48244146961949
1998-12-20,3.99809698644498,"12-20","1998-01-01","1998-1999","Region 2","H3",0.481768409854091
1998-12-26,3.99264020560604,"12-26","1998-01-01","1998-1999","Region 2","H3",0.481110870870767
1999-01-02,3.98731697471136,"01-02","1999-01-01","1998-1999","Region 2","H3",0.480469424579666
1999-01-10,3.98213188492382,"01-10","1999-01-01","1998-1999","Region 2","H3",0.479844624213301
1999-01-17,3.97708936937323,"01-17","1999-01-01","1998-1999","Region 2","H3",0.479237003961289
1999-01-23,3.97219370004736,"01-23","1999-01-01","1998-1999","Region 2","H3",0.478647078595724
1999-01-30,3.9674489845973,"01-30","1999-01-01","1998-1999","Region 2","H3",0.478075343086221
1999-02-06,3.96285916304948,"02-06","1999-01-01","1998-1999","Region 2","H3",0.477522272203722
1999-02-14,3.9584280044173,"02-14","1999-01-01","1998-1999","Region 2","H3",0.476988320112196
1999-02-21,3.9541591032057,"02-21","1999-01-01","1998-1999","Region 2","H3",0.476473919947441
1999-02-27,3.95005587580283,"02-27","1999-01-01","1998-1999","Region 2","H3",0.475979483382282
1999-03-06,3.94612155675338,"03-06","1999-01-01","1998-1999","Region 2","H3",0.475505400177512
1999-03-14,3.94235919490916,"03-14","1999-01-01","1998-1999","Region 2","H3",0.47505203771804
1999-03-21,3.93877164945319,"03-21","1999-01-01","1998-1999","Region 2","H3",0.474619740533788
1999-03-27,3.93536158579447,"03-27","1999-01-01","1998-1999","Region 2","H3",0.474208829805026
1999-04-03,3.93213147133172,"04-03","1999-01-01","1998-1999","Region 2","H3",0.473819602851892
1999-04-11,3.92908357108525,"04-11","1999-01-01","1998-1999","Region 2","H3",0.473452332608045
1999-04-18,3.92621994319754,"04-18","1999-01-01","1998-1999","Region 2","H3",0.473107267078482
1999-04-25,3.92354243430416,"04-25","1999-01-01","1998-1999","Region 2","H3",0.472784628781735
1999-05-01,3.92105267477809,"05-01","1999-01-01","1998-1999","Region 2","H3",0.472484614176821
1999-05-08,3.91875207385205,"05-08","1999-01-01","1998-1999","Region 2","H3",0.472207393075481
1999-05-16,3.91664181462486,"05-16","1999-01-01","1998-1999","Region 2","H3",0.471953108040449
1999-05-23,3.91472284895964,"05-23","1999-01-01","1998-1999","Region 2","H3",0.471721873770687
1999-05-29,3.91299589228334,"05-29","1999-01-01","1998-1999","Region 2","H3",0.471513776474736
1999-06-05,3.91146141829912,"06-05","1999-01-01","1998-1999","Region 2","H3",0.471328873233558
1999-06-13,3.91011965362502,"06-13","1999-01-01","1998-1999","Region 2","H3",0.471167191354495
1999-06-20,3.90897057237438,"06-20","1999-01-01","1998-1999","Region 2","H3",0.471028727718223
1999-06-26,3.90801389069616,"06-26","1999-01-01","1998-1999","Region 2","H3",0.47091344812085
1999-07-03,3.90724906129495,"07-03","1999-01-01","1999-2000","Region 2","H3",0.470821286613594
1999-07-10,3.90667526795383,"07-10","1999-01-01","1999-2000","Region 2","H3",0.470752144842778
1999-07-18,3.90629142008508,"07-18","1999-01-01","1999-2000","Region 2","H3",0.470705891393204
1999-07-25,3.90609614733698,"07-25","1999-01-01","1999-2000","Region 2","H3",0.470682361138271
1999-07-31,3.90608779428763,"07-31","1999-01-01","1999-2000","Region 2","H3",0.470681354600581
1999-08-07,3.90626441525959,"08-07","1999-01-01","1999-2000","Region 2","H3",0.470702637327113
1999-08-15,3.90662376929241,"08-15","1999-01-01","1999-2000","Region 2","H3",0.470745939283407
1999-08-22,3.90716331531315,"08-22","1999-01-01","1999-2000","Region 2","H3",0.470810954271621
1999-08-28,3.90788020754821,"08-28","1999-01-01","1999-2000","Region 2","H3",0.470897339377658
1999-09-04,3.90877129122328,"09-04","1999-01-01","1999-2000","Region 2","H3",0.471004714453011
1999-09-12,3.90983309860148,"09-12","1999-01-01","1999-2000","Region 2","H3",0.471132661637359
1999-09-19,3.91106184541308,"09-19","1999-01-01","1999-2000","Region 2","H3",0.471280724928355
1999-09-26,3.91245342773391,"09-26","1999-01-01","1999-2000","Region 2","H3",0.471448409805476
1999-10-02,3.91400341937269,"10-02","1999-01-01","1999-2000","Region 2","H3",0.471635182915192
1999-10-09,3.91570706983109,"10-09","1999-01-01","1999-2000","Region 2","H3",0.471840471825159
1999-10-17,3.91755930290356,"10-17","1999-01-01","1999-2000","Region 2","H3",0.4720636648555
1999-10-24,3.91955471598714,"10-24","1999-01-01","1999-2000","Region 2","H3",0.472304110995636
1999-10-30,3.92168758017471,"10-30","1999-01-01","1999-2000","Region 2","H3",0.47256111991552
1999-11-06,3.92395184120765,"11-06","1999-01-01","1999-2000","Region 2","H3",0.472833962080439
1999-11-14,3.92634112136692,"11-14","1999-01-01","1999-2000","Region 2","H3",0.473121868978878
1999-11-21,3.92884872238348,"11-21","1999-01-01","1999-2000","Region 2","H3",0.473424033473235
1999-11-27,3.93146762945131,"11-27","1999-01-01","1999-2000","Region 2","H3",0.473739610283377
1999-12-04,3.93419051642748,"12-04","1999-01-01","1999-2000","Region 2","H3",0.474067716613256
1999-12-11,3.93700975230521,"12-11","1999-01-01","1999-2000","Region 2","H3",0.4744074329309
1999-12-19,3.93991740904581,"12-19","1999-01-01","1999-2000","Region 2","H3",0.474757803912162
1999-12-26,3.94290527085597,"12-26","1999-01-01","1999-2000","Region 2","H3",0.475117839558627
2000-01-01,3.94596484499536,"01-01","2000-01-01","1999-2000","Region 2","H3",0.475486516499922
2000-01-08,3.9490873741985,"01-08","2000-01-01","1999-2000","Region 2","H3",0.475862779490544
2000-01-15,3.95226385079205,"01-15","2000-01-01","1999-2000","Region 2","H3",0.476245543110987
2000-01-22,3.95548503258543,"01-22","2000-01-01","1999-2000","Region 2","H3",0.47663369368255
2000-01-29,3.95874146060839,"01-29","2000-01-01","1999-2000","Region 2","H3",0.477026091404702
2000-02-05,3.96202347876343,"02-05","2000-01-01","1999-2000","Region 2","H3",0.477421572723195
2000-02-12,3.96532125545468,"02-12","2000-01-01","1999-2000","Region 2","H3",0.477818952936328
2000-02-19,3.96862480724685,"02-19","2000-01-01","1999-2000","Region 2","H3",0.478217029045833
2000-02-26,3.97192402459863,"02-26","2000-01-01","1999-2000","Region 2","H3",0.478614582857738
2000-03-04,3.9752086997048,"03-04","2000-01-01","1999-2000","Region 2","H3",0.479010384337329
2000-03-11,3.97846855646922,"03-11","2000-01-01","1999-2000","Region 2","H3",0.479403195220875
2000-03-18,3.98169328261792,"03-18","2000-01-01","1999-2000","Region 2","H3",0.479791772885235
2000-03-25,3.98487256394671,"03-25","2000-01-01","1999-2000","Region 2","H3",0.480174874474677
2000-04-01,3.9879961206819,"04-01","2000-01-01","1999-2000","Region 2","H3",0.480551261282326
2000-04-08,3.99105374591538,"04-08","2000-01-01","1999-2000","Region 2","H3",0.48091970338157
2000-04-15,3.99403534605653,"04-15","2000-01-01","1999-2000","Region 2","H3",0.481278984500485
2000-04-22,3.99693098322356,"04-22","2000-01-01","1999-2000","Region 2","H3",0.481627907129977
2000-04-29,3.99973091947594,"04-29","2000-01-01","1999-2000","Region 2","H3",0.481965297853758
2000-05-06,4.00242566276709,"05-06","2000-01-01","1999-2000","Region 2","H3",0.48229001288562
2000-05-13,4.0050060144739,"05-13","2000-01-01","1999-2000","Region 2","H3",0.482600943796718
2000-05-20,4.00746311833567,"05-20","2000-01-01","1999-2000","Region 2","H3",0.482897023412681
2000-05-27,4.00978851061081,"05-27","2000-01-01","1999-2000","Region 2","H3",0.483177231857468
