"region","season","year.new","H1_cum_intensity","IVB_cum_intensity","prior_dom_type_national","H3_epi_size_prior","H1_epi_size_prior","IVB_epi_size_prior","usa_bhatt_ep_mean","usa_wolf_ep_mean","NA_bhatt_ep_lag1","NA_bhatt_nonepitope_lag1","HA_koel_lag2","HA_titer_tree_lag2","HA_wolf_lag2","HA_wolf_nonepitope_lag2","HA_std_lbi","NA_std_lbi","vac_combined","vac_combined_prior","vac_cov_combined_prior","weighted_VE","weighted_VE_prior_season","h3_dom","pred","model","dataType","object","resid"
"Region 8","1998-1999","1998",0,5.31503048936757,1,80.2386797057501,0,0.200385887176289,6.96153846153846,8.25641025641026,8.45,0.56,1.63,2.126,11.524,3.014,1.49172594383627,0.88684845728091,3.7011438,-1.6973895,0.098115,34.35,-17.3,0.861394557823129,0.677086809384038,"Lasso","Training","lasso",0.184307748439091
"Region 9","1998-1999","1998",1.43661297801026,8.85629312994844,1,62.419477516404,0.346560551622544,0.0444407586374706,6.96153846153846,8.25641025641026,8.45,0.56,1.63,2.126,11.524,3.014,1.49172594383627,0.88684845728091,3.7011438,-1.6973895,0.098115,34.35,-17.3,0.782820027103085,0.770682532202639,"Conditional
Random Forest","Training","party RF",0.0121374949004455
"Region 9","1998-1999","1998",1.43661297801026,8.85629312994844,1,62.419477516404,0.346560551622544,0.0444407586374706,6.96153846153846,8.25641025641026,8.45,0.56,1.63,2.126,11.524,3.014,1.49172594383627,0.88684845728091,3.7011438,-1.6973895,0.098115,34.35,-17.3,0.782820027103085,0.677086809384038,"Lasso","Training","lasso",0.105733217719047
"Region 1","1999-2000","1999",0.130678016718795,0.207196456923009,1,83.7442508778468,0.409423491849838,10.1113862947263,10.9459459459459,9.50632911392405,10.44,0.5,0.62,1.344,8.528,4.1,1.39008037059549,0.859507726522561,4.7533042368,3.7011438,0.107748,43.1632,34.35,0.993055555555556,0.84655476707823,"Conditional
Random Forest","Training","party RF",0.146500788477325
"Region 1","1999-2000","1999",0.130678016718795,0.207196456923009,1,83.7442508778468,0.409423491849838,10.1113862947263,10.9459459459459,9.50632911392405,10.44,0.5,0.62,1.344,8.528,4.1,1.39008037059549,0.859507726522561,4.7533042368,3.7011438,0.107748,43.1632,34.35,0.993055555555556,0.657655012763696,"Lasso","Training","lasso",0.335400542791859
"Region 2","1999-2000","1999",2.61579054414231,0.279805101709391,1,88.3261338641115,0,13.3482022301061,10.9459459459459,9.50632911392405,10.44,0.5,0.62,1.344,8.528,4.1,1.39008037059549,0.859507726522561,4.7533042368,3.7011438,0.107748,43.1632,34.35,0.954330854330854,0.848619975675337,"Conditional
Random Forest","Training","party RF",0.105710878655517
"Region 2","1999-2000","1999",2.61579054414231,0.279805101709391,1,88.3261338641115,0,13.3482022301061,10.9459459459459,9.50632911392405,10.44,0.5,0.62,1.344,8.528,4.1,1.39008037059549,0.859507726522561,4.7533042368,3.7011438,0.107748,43.1632,34.35,0.954330854330854,0.657655012763696,"Lasso","Training","lasso",0.296675841567158
"Region 3","1999-2000","1999",1.38434068924307,0.409178256423711,1,36.5535973766676,0.0841686289478406,22.4020377084032,10.9459459459459,9.50632911392405,10.44,0.5,0.62,1.344,8.528,4.1,1.39008037059549,0.859507726522561,4.7533042368,3.7011438,0.107748,43.1632,34.35,0.971867453564118,0.841363275424516,"Conditional
Random Forest","Training","party RF",0.130504178139602
"Region 3","1999-2000","1999",1.38434068924307,0.409178256423711,1,36.5535973766676,0.0841686289478406,22.4020377084032,10.9459459459459,9.50632911392405,10.44,0.5,0.62,1.344,8.528,4.1,1.39008037059549,0.859507726522561,4.7533042368,3.7011438,0.107748,43.1632,34.35,0.971867453564118,0.657655012763696,"Lasso","Training","lasso",0.314212440800422
"Region 4","1999-2000","1999",0.548892431706466,0.132745881765844,1,44.3342318159856,0,19.6736580005886,10.9459459459459,9.50632911392405,10.44,0.5,0.62,1.344,8.528,4.1,1.39008037059549,0.859507726522561,4.7533042368,3.7011438,0.107748,43.1632,34.35,0.9892745476136,0.845150500277515,"Conditional
Random Forest","Training","party RF",0.144124047336086
"Region 4","1999-2000","1999",0.548892431706466,0.132745881765844,1,44.3342318159856,0,19.6736580005886,10.9459459459459,9.50632911392405,10.44,0.5,0.62,1.344,8.528,4.1,1.39008037059549,0.859507726522561,4.7533042368,3.7011438,0.107748,43.1632,34.35,0.9892745476136,0.657655012763696,"Lasso","Training","lasso",0.331619534849904
"Region 5","1999-2000","1999",0.85092881671721,0.207717881905396,1,61.4634903388422,1.70115307892911,14.5218879295397,10.9459459459459,9.50632911392405,10.44,0.5,0.62,1.344,8.528,4.1,1.39008037059549,0.859507726522561,4.7533042368,3.7011438,0.107748,43.1632,34.35,0.960096801875508,0.843938483014257,"Conditional
Random Forest","Training","party RF",0.11615831886125
"Region 5","1999-2000","1999",0.85092881671721,0.207717881905396,1,61.4634903388422,1.70115307892911,14.5218879295397,10.9459459459459,9.50632911392405,10.44,0.5,0.62,1.344,8.528,4.1,1.39008037059549,0.859507726522561,4.7533042368,3.7011438,0.107748,43.1632,34.35,0.960096801875508,0.657655012763696,"Lasso","Training","lasso",0.302441789111811
"Region 6","1999-2000","1999",1.14886873588914,0.098514594631048,1,30.8885571726821,0,19.8275730037936,10.9459459459459,9.50632911392405,10.44,0.5,0.62,1.344,8.528,4.1,1.39008037059549,0.859507726522561,4.7533042368,3.7011438,0.107748,43.1632,34.35,0.871077819392426,0.843129595577583,"Conditional
Random Forest","Training","party RF",0.0279482238148434
"Region 6","1999-2000","1999",1.14886873588914,0.098514594631048,1,30.8885571726821,0,19.8275730037936,10.9459459459459,9.50632911392405,10.44,0.5,0.62,1.344,8.528,4.1,1.39008037059549,0.859507726522561,4.7533042368,3.7011438,0.107748,43.1632,34.35,0.871077819392426,0.657655012763696,"Lasso","Training","lasso",0.21342280662873
"Region 7","1999-2000","1999",0.560621379902851,0.442829666934641,1,45.7200461283146,0.148519357943656,13.5296403823442,10.9459459459459,9.50632911392405,10.44,0.5,0.62,1.344,8.528,4.1,1.39008037059549,0.859507726522561,4.7533042368,3.7011438,0.107748,43.1632,34.35,0.977963458110517,0.844189661604592,"Conditional
Random Forest","Training","party RF",0.133773796505925
"Region 7","1999-2000","1999",0.560621379902851,0.442829666934641,1,45.7200461283146,0.148519357943656,13.5296403823442,10.9459459459459,9.50632911392405,10.44,0.5,0.62,1.344,8.528,4.1,1.39008037059549,0.859507726522561,4.7533042368,3.7011438,0.107748,43.1632,34.35,0.977963458110517,0.657655012763696,"Lasso","Training","lasso",0.32030844534682
"Region 8","1999-2000","1999",2.01313737683995,0.295629230013147,1,40.9408210361962,0,5.31503048936757,10.9459459459459,9.50632911392405,10.44,0.5,0.62,1.344,8.528,4.1,1.39008037059549,0.859507726522561,4.7533042368,3.7011438,0.107748,43.1632,34.35,0.930997184059113,0.845268322846719,"Conditional
Random Forest","Training","party RF",0.0857288612123934
"Region 8","1999-2000","1999",2.01313737683995,0.295629230013147,1,40.9408210361962,0,5.31503048936757,10.9459459459459,9.50632911392405,10.44,0.5,0.62,1.344,8.528,4.1,1.39008037059549,0.859507726522561,4.7533042368,3.7011438,0.107748,43.1632,34.35,0.930997184059113,0.657655012763696,"Lasso","Training","lasso",0.273342171295416
"Region 9","1999-2000","1999",1.10494940507794,0.415932956073581,1,41.7713049818828,1.43661297801026,8.85629312994844,10.9459459459459,9.50632911392405,10.44,0.5,0.62,1.344,8.528,4.1,1.39008037059549,0.859507726522561,4.7533042368,3.7011438,0.107748,43.1632,34.35,0.95185873605948,0.843198815452382,"Conditional
Random Forest","Training","party RF",0.108659920607098
