"date","diff_weeks","month.day","new.year","season","region","dom_type","diff"
1997-09-27,5.36377275610849,"09-27","1997-01-01","1997-1998","Region 9","H3",0.6463315623133
1997-10-05,5.3563279077174,"10-05","1997-01-01","1997-1998","Region 9","H3",0.645434462322195
1997-10-12,5.34855912752067,"10-12","1997-01-01","1997-1998","Region 9","H3",0.644498328732995
1997-10-18,5.34048073721895,"10-18","1997-01-01","1997-1998","Region 9","H3",0.643524887302476
1997-10-25,5.3321071833097,"10-25","1997-01-01","1997-1998","Region 9","H3",0.642515878825352
1997-11-01,5.32345302431577,"11-01","1997-01-01","1997-1998","Region 9","H3",0.641473057595336
1997-11-09,5.31453291770081,"11-09","1997-01-01","1997-1998","Region 9","H3",0.640398189828449
1997-11-16,5.30536160650806,"11-16","1997-01-01","1997-1998","Region 9","H3",0.639293052053005
1997-11-22,5.29595390576171,"11-22","1997-01-01","1997-1998","Region 9","H3",0.638159429470982
1997-11-29,5.28632468867173,"11-29","1997-01-01","1997-1998","Region 9","H3",0.63699911429571
1997-12-07,5.27648887268489,"12-07","1997-01-01","1997-1998","Region 9","H3",0.63581390407103
1997-12-14,5.26646140542596,"12-14","1997-01-01","1997-1998","Region 9","H3",0.634605599977213
1997-12-20,5.25625725057405,"12-20","1997-01-01","1997-1998","Region 9","H3",0.63337600512907
1997-12-27,5.24589137371976,"12-27","1997-01-01","1997-1998","Region 9","H3",0.632126922871744
1998-01-04,5.23537872824884,"01-04","1998-01-01","1997-1998","Region 9","H3",0.630860155079704
1998-01-11,5.22473424129829,"01-11","1998-01-01","1997-1998","Region 9","H3",0.629577500464454
1998-01-18,5.21397279982985,"01-18","1998-01-01","1997-1998","Region 9","H3",0.628280752896408
1998-01-24,5.20310923686548,"01-24","1998-01-01","1997-1998","Region 9","H3",0.626971699746262
1998-01-31,5.19215831792767,"01-31","1998-01-01","1997-1998","Region 9","H3",0.625652120251067
1998-02-08,5.18113472772638,"02-08","1998-01-01","1997-1998","Region 9","H3",0.624323783910012
1998-02-15,5.17005305713216,"02-15","1998-01-01","1997-1998","Region 9","H3",0.622988448914687
1998-02-21,5.1589277904729,"02-21","1998-01-01","1997-1998","Region 9","H3",0.621647860618353
1998-02-28,5.14777329318927,"02-28","1998-01-01","1997-1998","Region 9","H3",0.620303750048431
1998-03-08,5.13660379988122,"03-08","1998-01-01","1997-1998","Region 9","H3",0.618957832466107
1998-03-15,5.12543340277485,"03-15","1998-01-01","1997-1998","Region 9","H3",0.617611805976599
1998-03-21,5.11427604063603,"03-21","1998-01-01","1997-1998","Region 9","H3",0.616267350193258
1998-03-28,5.10314548815387,"03-28","1998-01-01","1997-1998","Region 9","H3",0.614926124958275
