"Estimate","CI_lower","CI_upper","std_error","var"
0.0212267491655296,0.0210864972953327,0.0213670010357264,6.97917985878585e-05,"H1_cum_intensity"
0.0104249935061622,0.0103048988414929,0.0105450881708315,5.97612184159001e-05,"IVB_cum_intensity"
0.00271409626352108,0.00266381007000084,0.00276438245704133,2.50232947695357e-05,"prior_dom_type_national"
0.00506708455167817,0.00498097304015807,0.00515319606319826,4.28506034156297e-05,"H3_epi_size_prior"
0.00132881677670869,0.00126483537799433,0.00139279817542305,3.18382698653067e-05,"H1_epi_size_prior"
0.00593146895412543,0.00584848746886683,0.00601445043938404,4.12930472696066e-05,"IVB_epi_size_prior"
0.0764893110790888,0.0762222732478291,0.0767563489103484,0.000132882723834259,"usa_bhatt_ep_mean"
0.0332652098625259,0.0331027924469072,0.0334276272781446,8.08217640314527e-05,"usa_wolf_ep_mean"
0.0669429979330435,0.0666929883605298,0.0671930075055572,0.00012440916264018,"NA_bhatt_ep_lag1"
0.0303350184123645,0.0301855277621955,0.0304845090625335,7.43891780745438e-05,"NA_bhatt_nonepitope_lag1"
0.00537848621007364,0.00530623026431059,0.00545074215583668,3.59558300819157e-05,"HA_koel_lag2"
0.0522306946491379,0.0520303068094709,0.0524310824888048,9.97165151941353e-05,"HA_titer_tree_lag2"
0.0188341867369909,0.0187285579099461,0.0189398155640357,5.25627630621708e-05,"HA_wolf_lag2"
0.0200875231649762,0.0199210735411074,0.0202539727888449,8.28282618104505e-05,"HA_wolf_nonepitope_lag2"
0.0180479310674196,0.0179343478505923,0.018161514284247,5.65210073893925e-05,"HA_std_lbi"
0.0473712722220194,0.0471418683788945,0.0476006760651444,0.000114155389102367,"NA_std_lbi"
0.022541809666348,0.0224183156709559,0.0226653036617402,6.14527852007791e-05,"vac_combined"
0.0193407711807577,0.0192155226405209,0.0194660197209944,6.23258775897815e-05,"vac_combined_prior"
0.101155098649159,0.100833806557581,0.101476390740737,0.000159880598467632,"vac_cov_combined_prior"
0.0176202892929504,0.0175038753589937,0.017736703226907,5.79296220443748e-05,"weighted_VE"
0.00702368447151979,0.0069442880000976,0.00710308094294198,3.95090812999923e-05,"weighted_VE_prior_season"
