"date","diff_weeks","month.day","new.year","season","region","dom_type","diff"
1997-09-27,3.00079649824372,"09-27","1997-01-01","1997-1998","Region 6","H3",0.361594269012487
1997-10-05,2.98877259340448,"10-05","1997-01-01","1997-1998","Region 6","H3",0.360145395327262
1997-10-12,2.97621711059763,"10-12","1997-01-01","1997-1998","Region 6","H3",0.358632466799687
1997-10-18,2.96314240080674,"10-18","1997-01-01","1997-1998","Region 6","H3",0.357056971716247
1997-10-25,2.94956114190515,"10-25","1997-01-01","1997-1998","Region 6","H3",0.35542043775346
1997-11-01,2.93548632750118,"11-01","1997-01-01","1997-1998","Region 6","H3",0.353724430633727
1997-11-09,2.92093125475393,"11-09","1997-01-01","1997-1998","Region 6","H3",0.351970552657147
1997-11-16,2.90590951117451,"11-16","1997-01-01","1997-1998","Region 6","H3",0.350160441111073
1997-11-22,2.89043496043526,"11-22","1997-01-01","1997-1998","Region 6","H3",0.348295766560122
1997-11-29,2.87452172721745,"11-29","1997-01-01","1997-1998","Region 6","H3",0.346378231020346
1997-12-07,2.85818418113621,"12-07","1997-01-01","1997-1998","Region 6","H3",0.344409566022182
1997-12-14,2.84143691978897,"12-14","1997-01-01","1997-1998","Region 6","H3",0.342391530567808
1997-12-20,2.8242947509816,"12-20","1997-01-01","1997-1998","Region 6","H3",0.340325908989399
1997-12-27,2.80677267419368,"12-27","1997-01-01","1997-1998","Region 6","H3",0.338214508715698
1998-01-04,2.78888586135116,"01-04","1998-01-01","1997-1998","Region 6","H3",0.336059157955145
1998-01-11,2.77064963698134,"01-11","1998-01-01","1997-1998","Region 6","H3",0.333861703304551
1998-01-18,2.75207945783051,"01-18","1998-01-01","1997-1998","Region 6","H3",0.33162400729304
1998-01-24,2.73319089202998,"01-24","1998-01-01","1997-1998","Region 6","H3",0.32934794587157
1998-01-31,2.71399959790036,"01-31","1998-01-01","1997-1998","Region 6","H3",0.327035405858855
1998-02-08,2.69452130248749,"02-08","1998-01-01","1997-1998","Region 6","H3",0.324688282354962
1998-02-15,2.67477177992593,"02-15","1998-01-01","1997-1998","Region 6","H3",0.322308476134123
1998-02-21,2.65476682972757,"02-21","1998-01-01","1997-1998","Region 6","H3",0.319897891028521
1998-02-28,2.63452225509363,"02-28","1998-01-01","1997-1998","Region 6","H3",0.317458431314904
1998-03-08,2.61405384134792,"03-08","1998-01-01","1997-1998","Region 6","H3",0.314991999115802
