"Estimate","CI_lower","CI_upper","std_error","var"
0.103824953568755,0.103506749597391,0.104143157540119,0.000158343895508171,"H1_cum_intensity"
0.0179626248585774,0.0177722421634941,0.0181530075536606,9.47377791911842e-05,"IVB_cum_intensity"
0.0175011463539702,0.0173593278975731,0.0176429648103672,7.05713594478805e-05,"prior_dom_type_national"
0.0239827611981026,0.0238331687235113,0.024132353672694,7.44398476988941e-05,"H3_epi_size_prior"
0.00350478840953918,0.00343649810380699,0.00357307871527137,3.39824578201626e-05,"H1_epi_size_prior"
0.00924459692913088,0.00912005489488435,0.0093691389633774,6.19743077768183e-05,"IVB_epi_size_prior"
0.065783961068684,0.0655379547424608,0.0660299673949073,0.000122417076841912,"usa_bhatt_ep_mean"
0.0115123576918241,0.0114268228209506,0.0115978925626977,4.25636568828909e-05,"usa_wolf_ep_mean"
0.0394135348692325,0.0392562784052368,0.0395707913332283,7.82535836878541e-05,"NA_bhatt_ep_lag1"
0.0227319545029166,0.0226115063128579,0.0228524026929752,5.99371388705491e-05,"NA_bhatt_nonepitope_lag1"
0.0142515204132815,0.0141480858196743,0.0143549550068887,5.14708738922162e-05,"HA_koel_lag2"
0.0406165515105818,0.0404433641193484,0.0407897389018152,8.61810934139517e-05,"HA_titer_tree_lag2"
0.0424973414245181,0.0423357847036225,0.0426588981454137,8.03934671917883e-05,"HA_wolf_lag2"
0.00942053690463176,0.00933181480837077,0.00950925900089275,4.41496763205209e-05,"HA_wolf_nonepitope_lag2"
0.0267487491002005,0.0266163276526882,0.0268811705477127,6.58952424699448e-05,"HA_std_lbi"
0.0526288610929935,0.0524063362192731,0.0528513859667138,0.000110732292879086,"NA_std_lbi"
0.044961468418865,0.0447540269803175,0.0451689098574124,0.000103226510117538,"vac_combined"
0.0182999990006455,0.0181798813714662,0.0184201166298249,5.97726459602399e-05,"vac_combined_prior"
0.070874709384577,0.0706647652888724,0.0710846534802816,0.000104471876357586,"vac_cov_combined_prior"
0.01215514859098,0.0120693388201273,0.0122409583618327,4.27004519498818e-05,"weighted_VE"
0.0102425528598174,0.0101476740503451,0.0103374316692896,4.72133651526167e-05,"weighted_VE_prior_season"
