"Estimate","CI_lower","CI_upper","std_error","var"
0.326093878393804,0.325510249836642,0.326677506950967,0.000290423840013072,"H1_cum_intensity"
0.150597594827911,0.150187553650388,0.151007636005434,0.00020404370532998,"HA_wolf_lag2"
0.0728341169174436,0.0725139526137835,0.0731542812211037,0.000159319391354279,"NA_bhatt_ep_lag1"
0.039216257266158,0.0390630252671476,0.0393694892651685,7.62509390936514e-05,"weighted_VE_prior_season"
0.0356858050253429,0.0355379077509956,0.0358337022996903,7.35962862274377e-05,"HA_titer_tree_lag2"
0.0321232604733566,0.0319122452716286,0.0323342756750846,0.000105004877562815,"usa_bhatt_ep_mean"
0.0293292543547478,0.0292224206978494,0.0294360880116462,5.31623075983975e-05,"HA_std_lbi"
0.0256786543251467,0.0255463316506327,0.0258109769996607,6.58460912879438e-05,"H3_epi_size_prior"
0.0240164879840614,0.0238980526011213,0.0241349233670015,5.89355306294922e-05,"prior_dom_type_national"
0.0184647475310141,0.0183646456158225,0.0185648494462057,4.98124744682984e-05,"vac_combined"
0.0154403602925831,0.0153066741617039,0.0155740464234622,6.65245711676609e-05,"NA_std_lbi"
0.0149602712552373,0.014851883461678,0.0150686590487966,5.39356733486305e-05,"usa_wolf_ep_mean"
0.0127982369896125,0.012696404750456,0.012900069228769,5.06735141212942e-05,"weighted_VE"
0.0103130220237889,0.0101984932052024,0.0104275508423754,5.69915554642914e-05,"HA_wolf_nonepitope_lag2"
0.0088671294940264,0.00879466139802799,0.00893959759002481,3.60613997721898e-05,"vac_combined_prior"
0.00784216992875911,0.0077439712313165,0.00794036862620173,4.88653998259348e-05,"IVB_cum_intensity"
0.00696671430562176,0.00689071867856167,0.00704270993268185,3.78167613015846e-05,"H1_epi_size_prior"
0.00502675558358757,0.00497168183699334,0.00508182933018181,2.74056654245567e-05,"HA_koel_lag2"
0.00479331405587491,0.00471732925530692,0.00486929885644291,3.78113738486053e-05,"vac_cov_combined_prior"
0.00407457571989622,0.004020731908927,0.00412841953086545,2.67936278146735e-05,"NA_bhatt_nonepitope_lag1"
0.0023490273938661,0.00229053058519761,0.00240752420253458,2.91090413474874e-05,"IVB_epi_size_prior"
