"date","diff_weeks","month.day","new.year","season","region","dom_type","diff"
1997-09-27,5.59522552975346,"09-27","1997-01-01","1997-1998","Region 2","H3",0.67422148971959
1997-10-05,5.72231810953523,"10-05","1997-01-01","1997-1998","Region 2","H3",0.689536073201008
1997-10-12,5.81992538871284,"10-12","1997-01-01","1997-1998","Region 2","H3",0.701297694752214
1997-10-18,5.89548942009145,"10-18","1997-01-01","1997-1998","Region 2","H3",0.7104031174978
1997-10-25,5.95477354838167,"10-25","1997-01-01","1997-1998","Region 2","H3",0.717546821193033
1997-11-01,6.00203247634906,"11-01","1997-01-01","1997-1998","Region 2","H3",0.723241495098005
1997-11-09,6.04035535458689,"11-09","1997-01-01","1997-1998","Region 2","H3",0.727859380099862
1997-11-16,6.07197938003569,"11-16","1997-01-01","1997-1998","Region 2","H3",0.731670057155798
1997-11-22,6.09853077586677,"11-22","1997-01-01","1997-1998","Region 2","H3",0.734869485231783
1997-11-29,6.12119895141516,"11-29","1997-01-01","1997-1998","Region 2","H3",0.737600987475293
1997-12-07,6.14085972151174,"12-07","1997-01-01","1997-1998","Region 2","H3",0.739970099074648
1997-12-14,6.15816216639588,"12-14","1997-01-01","1997-1998","Region 2","H3",0.742055033829028
1997-12-20,6.17359014626222,"12-20","1997-01-01","1997-1998","Region 2","H3",0.743914096616316
1997-12-27,6.18750623636636,"12-27","1997-01-01","1997-1998","Region 2","H3",0.745590977548317
1998-01-04,6.20018341810267,"01-04","1998-01-01","1997-1998","Region 2","H3",0.747118570727581
1998-01-11,6.21182816623898,"01-11","1998-01-01","1997-1998","Region 2","H3",0.748521756246043
1998-01-18,6.22259742247798,"01-18","1998-01-01","1997-1998","Region 2","H3",0.749819445489491
1998-01-24,6.23261117229834,"01-24","1998-01-01","1997-1998","Region 2","H3",0.751026096639773
1998-01-31,6.24196182182329,"01-31","1998-01-01","1997-1998","Region 2","H3",0.75215284458211
1998-02-08,6.25072121938567,"02-08","1998-01-01","1997-1998","Region 2","H3",0.753208346999688
1998-02-15,6.258945925963,"02-15","1998-01-01","1997-1998","Region 2","H3",0.754199419458089
1998-02-21,6.26668117251071,"02-21","1998-01-01","1997-1998","Region 2","H3",0.755131512261678
1998-02-28,6.27396382595936,"02-28","1998-01-01","1997-1998","Region 2","H3",0.756009067854594
1998-03-08,6.2808246031525,"03-08","1998-01-01","1997-1998","Region 2","H3",0.756835787598989
1998-03-15,6.28728971262308,"03-15","1998-01-01","1997-1998","Region 2","H3",0.757614829608159
1998-03-21,6.29338206073601,"03-21","1998-01-01","1997-1998","Region 2","H3",0.758348954086027
1998-03-28,6.29912212659212,"03-28","1998-01-01","1997-1998","Region 2","H3",0.759040628752583
1998-04-04,6.30452858596397,"04-04","1998-01-01","1997-1998","Region 2","H3",0.759692104027782
1998-04-12,6.30961874620293,"04-12","1998-01-01","1997-1998","Region 2","H3",0.760305465437608
1998-04-19,6.31440883998528,"04-19","1998-01-01","1997-1998","Region 2","H3",0.760882669010308
1998-04-25,6.31891421487525,"04-25","1998-01-01","1997-1998","Region 2","H3",0.761425564118629
1998-05-02,6.32314944720228,"05-02","1998-01-01","1997-1998","Region 2","H3",0.761935907201969
1998-05-10,6.32712840212082,"05-10","1998-01-01","1997-1998","Region 2","H3",0.762415369003543
1998-05-17,6.33086425652784,"05-17","1998-01-01","1997-1998","Region 2","H3",0.762865537331929
1998-05-23,6.33436949744448,"05-23","1998-01-01","1997-1998","Region 2","H3",0.763287916866066
1998-05-30,6.33765590528712,"05-30","1998-01-01","1997-1998","Region 2","H3",0.763683927139415
1998-06-07,6.34073452897111,"06-07","1998-01-01","1997-1998","Region 2","H3",0.764054899539986
1998-06-14,6.34361565786624,"06-14","1998-01-01","1997-1998","Region 2","H3",0.764402073930976
1998-06-21,6.34630879413828,"06-21","1998-01-01","1997-1998","Region 2","H3",0.764726595317951
1998-06-27,6.34882262787552,"06-27","1998-01-01","1997-1998","Region 2","H3",0.7650295108516
1998-07-04,6.35116501653957,"07-04","1998-01-01","1998-1999","Region 2","H3",0.765311767351571
1998-07-12,6.35334296963597,"07-12","1998-01-01","1998-1999","Region 2","H3",0.765574209459291
1998-07-19,6.35536263902672,"07-19","1998-01-01","1998-1999","Region 2","H3",0.765817578470626
1998-07-25,6.35722931496403,"07-25","1998-01-01","1998-1999","Region 2","H3",0.766042511857955
1998-08-01,6.35894742768453,"08-01","1998-01-01","1998-1999","Region 2","H3",0.766249543462269
1998-08-09,6.36052055423942,"08-09","1998-01-01","1998-1999","Region 2","H3",0.766439104316199
1998-08-16,6.3619514301328,"08-16","1998-01-01","1998-1999","Region 2","H3",0.766611524046433
1998-08-22,6.36324196527917,"08-22","1998-01-01","1998-1999","Region 2","H3",0.76676703279658
1998-08-29,6.36439326376374,"08-29","1998-01-01","1998-1999","Region 2","H3",0.766905763608279
1998-09-05,6.36540564688442,"09-05","1998-01-01","1998-1999","Region 2","H3",0.767027755197743
1998-09-13,6.36627867896607,"09-13","1998-01-01","1998-1999","Region 2","H3",0.76713295506637
1998-09-20,6.36701119546089,"09-20","1998-01-01","1998-1999","Region 2","H3",0.76722122288681
1998-09-26,6.36760133287869,"09-26","1998-01-01","1998-1999","Region 2","H3",0.767292334109557
1998-10-03,6.36804656012543,"10-03","1998-01-01","1998-1999","Region 2","H3",0.767345983739222
1998-10-11,6.36834371086509,"10-11","1998-01-01","1998-1999","Region 2","H3",0.767381790234117
1998-10-18,6.36848901655663,"10-18","1998-01-01","1998-1999","Region 2","H3",0.767399299487192
1998-10-24,6.36847813985474,"10-24","1998-01-01","1998-1999","Region 2","H3",0.767397988850808
1998-10-31,6.36830620809794,"10-31","1998-01-01","1998-1999","Region 2","H3",0.767377271172033
1998-11-08,6.36796784664139,"11-08","1998-01-01","1998-1999","Region 2","H3",0.767336498809224
1998-11-15,6.36745721182266,"11-15","1998-01-01","1998-1999","Region 2","H3",0.767274967604387
1998-11-22,6.3667680233784,"11-22","1998-01-01","1998-1999","Region 2","H3",0.767191920789363
1998-11-28,6.36589359615619,"11-28","1998-01-01","1998-1999","Region 2","H3",0.767086552807093
1998-12-05,6.36482687099118,"12-05","1998-01-01","1998-1999","Region 2","H3",0.766958013032235
1998-12-13,6.363560444639,"12-13","1998-01-01","1998-1999","Region 2","H3",0.766805409378059
1998-12-20,6.36208659867739,"12-20","1998-01-01","1998-1999","Region 2","H3",0.766627811779075
1998-12-26,6.3603973273072,"12-26","1998-01-01","1998-1999","Region 2","H3",0.766424255541048
1999-01-02,6.35848436400039,"01-02","1999-01-01","1998-1999","Region 2","H3",0.766193744552055
1999-01-10,6.35633920695759,"01-10","1999-01-01","1998-1999","Region 2","H3",0.765935254350117
1999-01-17,6.35395314335139,"01-17","1999-01-01","1998-1999","Region 2","H3",0.76564773504449
1999-01-23,6.35131727234328,"01-23","1999-01-01","1998-1999","Region 2","H3",0.765330114089205
1999-01-30,6.34842252687365,"01-30","1999-01-01","1998-1999","Region 2","H3",0.764981298908742
1999-02-06,6.34525969423294,"02-06","1999-01-01","1998-1999","Region 2","H3",0.764600179376846
1999-02-14,6.34181943543122,"02-14","1999-01-01","1998-1999","Region 2","H3",0.764185630150549
1999-02-21,6.33809230339059,"02-21","1999-01-01","1998-1999","Region 2","H3",0.763736512862344
1999-02-27,6.33406875999159,"02-27","1999-01-01","1998-1999","Region 2","H3",0.76325167817427
1999-03-06,6.32973919201024,"03-06","1999-01-01","1998-1999","Region 2","H3",0.76272996769831
1999-03-14,6.32509392598758,"03-14","1999-01-01","1998-1999","Region 2","H3",0.762170215788171
1999-03-21,6.32012324207787,"03-21","1999-01-01","1998-1999","Region 2","H3",0.761571251207974
1999-03-27,6.31481738692503,"03-27","1999-01-01","1998-1999","Region 2","H3",0.76093189868387
1999-04-03,6.3091665856204,"04-03","1999-01-01","1998-1999","Region 2","H3",0.76025098034493
1999-04-11,6.30316105279711,"04-11","1999-01-01","1998-1999","Region 2","H3",0.759527317060018
1999-04-18,6.2967910029189,"04-18","1999-01-01","1998-1999","Region 2","H3",0.758759729677591
1999-04-25,6.29004665982279,"04-25","1999-01-01","1998-1999","Region 2","H3",0.757947040175576
1999-05-01,6.28291826557639,"05-01","1999-01-01","1998-1999","Region 2","H3",0.757088072728676
1999-05-08,6.27539608871197,"05-08","1999-01-01","1998-1999","Region 2","H3",0.756181654700575
1999-05-16,6.26747043189998,"05-16","1999-01-01","1998-1999","Region 2","H3",0.755226617568583
1999-05-23,6.25913163912563,"05-23","1999-01-01","1998-1999","Region 2","H3",0.754221797788417
1999-05-29,6.25037010243213,"05-29","1999-01-01","1998-1999","Region 2","H3",0.753166037606756
1999-06-05,6.24117626829498,"06-05","1999-01-01","1998-1999","Region 2","H3",0.75205818582934
1999-06-13,6.2315406436913,"06-13","1999-01-01","1998-1999","Region 2","H3",0.750897098552317
1999-06-20,6.22145380192857,"06-20","1999-01-01","1998-1999","Region 2","H3",0.749681639864607
1999-06-26,6.21090638829679,"06-26","1999-01-01","1998-1999","Region 2","H3",0.748410682528983
1999-07-03,6.19988912560817,"07-03","1999-01-01","1999-2000","Region 2","H3",0.747083108649601
1999-07-10,6.18839281968802,"07-10","1999-01-01","1999-2000","Region 2","H3",0.745697810333647
1999-07-18,6.1764083648806,"07-18","1999-01-01","1999-2000","Region 2","H3",0.744253690354787
1999-07-25,6.163926749633,"07-25","1999-01-01","1999-2000","Region 2","H3",0.742749662826032
1999-07-31,6.15093906222047,"07-31","1999-01-01","1999-2000","Region 2","H3",0.741184653889624
1999-08-07,6.1374364966759,"08-07","1999-01-01","1999-2000","Region 2","H3",0.739557602431539
1999-08-15,6.1234103589861,"08-15","1999-01-01","1999-2000","Region 2","H3",0.737867460828141
1999-08-22,6.10885207361748,"08-22","1999-01-01","1999-2000","Region 2","H3",0.736113195732517
1999-08-28,6.09375319043342,"08-28","1999-01-01","1999-2000","Region 2","H3",0.734293788908015
1999-09-04,6.07810539206529,"09-04","1999-01-01","1999-2000","Region 2","H3",0.732408238116454
1999-09-12,6.0619005017995,"09-12","1999-01-01","1999-2000","Region 2","H3",0.730455558068501
1999-09-19,6.04513049204203,"09-19","1999-01-01","1999-2000","Region 2","H3",0.72843478144365
1999-09-26,6.02778749342257,"09-26","1999-01-01","1999-2000","Region 2","H3",0.726344959987261
1999-10-02,6.00986380459962,"10-02","1999-01-01","1999-2000","Region 2","H3",0.724185165692068
1999-10-09,5.99135190282815,"10-09","1999-01-01","1999-2000","Region 2","H3",0.72195449207158
1999-10-17,5.97224445535091,"10-17","1999-01-01","1999-2000","Region 2","H3",0.719652055532724
1999-10-24,5.95253433167443,"10-24","1999-01-01","1999-2000","Region 2","H3",0.717276996855098
1999-10-30,5.93221461679002,"10-30","1999-01-01","1999-2000","Region 2","H3",0.714828482784094
1999-11-06,5.91127862540016,"11-06","1999-01-01","1999-2000","Region 2","H3",0.712305707745167
1999-11-14,5.88971991720915,"11-14","1999-01-01","1999-2000","Region 2","H3",0.709707895686354
