"date","diff_weeks","month.day","new.year","season","region","dom_type","diff"
1997-09-27,2.30174484819151,"09-27","1997-01-01","1997-1998","Region 3","H3",0.277358943307948
1997-10-05,2.29876369573159,"10-05","1997-01-01","1997-1998","Region 3","H3",0.276999716134365
1997-10-12,2.29547734855661,"10-12","1997-01-01","1997-1998","Region 3","H3",0.276603713171435
1997-10-18,2.29189391128816,"10-18","1997-01-01","1997-1998","Region 3","H3",0.276171911021439
1997-10-25,2.28802164775018,"10-25","1997-01-01","1997-1998","Region 3","H3",0.275705305470461
1997-11-01,2.28386897747665,"11-01","1997-01-01","1997-1998","Region 3","H3",0.275204911067546
1997-11-09,2.27944447197997,"11-09","1997-01-01","1997-1998","Region 3","H3",0.274671760675059
1997-11-16,2.27475685078169,"11-16","1997-01-01","1997-1998","Region 3","H3",0.274106904990378
1997-11-22,2.26981497720821,"11-22","1997-01-01","1997-1998","Region 3","H3",0.273511412039291
1997-11-29,2.26462785395533,"11-29","1997-01-01","1997-1998","Region 3","H3",0.272886366641511
1997-12-07,2.25920461842645,"12-07","1997-01-01","1997-1998","Region 3","H3",0.272232869848943
1997-12-14,2.25355453785072,"12-14","1997-01-01","1997-1998","Region 3","H3",0.271552038357425
1997-12-20,2.24768700418841,"12-20","1997-01-01","1997-1998","Region 3","H3",0.270845003892819
1997-12-27,2.2416115288318,"12-27","1997-01-01","1997-1998","Region 3","H3",0.270112912572476
1998-01-04,2.23533773711129,"01-04","1998-01-01","1997-1998","Region 3","H3",0.269356924243231
1998-01-11,2.22887536261729,"01-11","1998-01-01","1997-1998","Region 3","H3",0.268578211797182
1998-01-18,2.22223424134943,"01-18","1998-01-01","1997-1998","Region 3","H3",0.267777960466683
1998-01-24,2.21542430570592,"01-24","1998-01-01","1997-1998","Region 3","H3",0.266957367100062
1998-01-31,2.20845557832634,"01-31","1998-01-01","1997-1998","Region 3","H3",0.266117639419681
1998-02-08,2.20133816580241,"02-08","1998-01-01","1997-1998","Region 3","H3",0.265259995264086
1998-02-15,2.19408225227179,"02-15","1998-01-01","1997-1998","Region 3","H3",0.264385661816063
1998-02-21,2.18669809291058,"02-21","1998-01-01","1997-1998","Region 3","H3",0.263495874818493
1998-02-28,2.17919600734111,"02-28","1998-01-01","1997-1998","Region 3","H3",0.262591877779991
1998-03-08,2.17158637297156,"03-08","1998-01-01","1997-1998","Region 3","H3",0.261674921172331
1998-03-15,2.16387961828482,"03-15","1998-01-01","1997-1998","Region 3","H3",0.260746261621761
1998-03-21,2.1560862160938,"03-21","1998-01-01","1997-1998","Region 3","H3",0.259807161096273
1998-03-28,2.148216676781,"03-28","1998-01-01","1997-1998","Region 3","H3",0.258858886090973
1998-04-04,2.14028154153973,"04-04","1998-01-01","1997-1998","Region 3","H3",0.257902706813651
1998-04-12,2.13229137563458,"04-12","1998-01-01","1997-1998","Region 3","H3",0.256939896372671
1998-04-19,2.12425676169836,"04-19","1998-01-01","1997-1998","Region 3","H3",0.255971729969263
1998-04-25,2.11618829308264,"04-25","1998-01-01","1997-1998","Region 3","H3",0.254999484096256
1998-05-02,2.10809656727816,"05-02","1998-01-01","1997-1998","Region 3","H3",0.254024435745249
1998-05-10,2.0999921794213,"05-10","1998-01-01","1997-1998","Region 3","H3",0.253047861624142
1998-05-17,2.09188571590196,"05-17","1998-01-01","1997-1998","Region 3","H3",0.252071037386887
1998-05-23,2.08378774808718,"05-23","1998-01-01","1997-1998","Region 3","H3",0.251095236877194
1998-05-30,2.07570882617464,"05-30","1998-01-01","1997-1998","Region 3","H3",0.250121731387873
1998-06-07,2.06765947318849,"06-07","1998-01-01","1997-1998","Region 3","H3",0.249151788937342
1998-06-14,2.05965017912953,"06-14","1998-01-01","1997-1998","Region 3","H3",0.248186673564725
1998-06-21,2.05169139529048,"06-21","1998-01-01","1997-1998","Region 3","H3",0.247227644644837
1998-06-27,2.04379352874569,"06-27","1998-01-01","1997-1998","Region 3","H3",0.246275956224216
1998-07-04,2.03596693702408,"07-04","1998-01-01","1998-1999","Region 3","H3",0.245332856379194
1998-07-12,2.028221922972,"07-12","1998-01-01","1998-1999","Region 3","H3",0.244399586596891
1998-07-19,2.02056872981231,"07-19","1998-01-01","1998-1999","Region 3","H3",0.243477381179825
1998-07-25,2.01301753640387,"07-25","1998-01-01","1998-1999","Region 3","H3",0.242567466674695
1998-08-01,2.005578452705,"08-01","1998-01-01","1998-1999","Region 3","H3",0.241671061325719
1998-08-09,1.99826151544253,"08-09","1998-01-01","1998-1999","Region 3","H3",0.240789374552763
1998-08-16,1.99107668398723,"08-16","1998-01-01","1998-1999","Region 3","H3",0.239923606454334
1998-08-22,1.9840338364347,"08-22","1998-01-01","1998-1999","Region 3","H3",0.239074947335326
1998-08-29,1.97714276588974,"08-29","1998-01-01","1998-1999","Region 3","H3",0.238244577259289
1998-09-05,1.97041317695073,"09-05","1998-01-01","1998-1999","Region 3","H3",0.237433665624801
1998-09-13,1.96385468238943,"09-13","1998-01-01","1998-1999","Region 3","H3",0.236643370765385
1998-09-20,1.9574768000203,"09-20","1998-01-01","1998-1999","Region 3","H3",0.235874839572262
1998-09-26,1.95128894975217,"09-26","1998-01-01","1998-1999","Region 3","H3",0.235129207139083
1998-10-03,1.9453004508142,"10-03","1998-01-01","1998-1999","Region 3","H3",0.234407596427651
1998-10-11,1.93952051914645,"10-11","1998-01-01","1998-1999","Region 3","H3",0.233711117953498
1998-10-18,1.93395826494501,"10-18","1998-01-01","1998-1999","Region 3","H3",0.233040869490062
1998-10-24,1.92862269034988,"10-24","1998-01-01","1998-1999","Region 3","H3",0.232397935790087
1998-10-31,1.92352268726342,"10-31","1998-01-01","1998-1999","Region 3","H3",0.231783388322744
1998-11-08,1.91866703528603,"11-08","1998-01-01","1998-1999","Region 3","H3",0.231198285024879
1998-11-15,1.91406439975474,"11-15","1998-01-01","1998-1999","Region 3","H3",0.230643670064669
1998-11-22,1.90972332986991,"11-22","1998-01-01","1998-1999","Region 3","H3",0.230120573615891
1998-11-28,1.90565225689422,"11-28","1998-01-01","1998-1999","Region 3","H3",0.229630011640895
1998-12-05,1.90185949240761,"12-05","1998-01-01","1998-1999","Region 3","H3",0.22917298568033
1998-12-13,1.89835322660099,"12-13","1998-01-01","1998-1999","Region 3","H3",0.228750482647534
1998-12-20,1.89514152659118,"12-20","1998-01-01","1998-1999","Region 3","H3",0.228363474625492
1998-12-26,1.89223233473891,"12-26","1998-01-01","1998-1999","Region 3","H3",0.22801291866415
1999-01-02,1.88963346695108,"01-02","1999-01-01","1998-1999","Region 3","H3",0.227699756575833
1999-01-10,1.88735261094816,"01-10","1999-01-01","1998-1999","Region 3","H3",0.227424914726484
1999-01-17,1.8853973244773,"01-17","1999-01-01","1998-1999","Region 3","H3",0.227189303820328
1999-01-23,1.88377503345102,"01-23","1999-01-01","1998-1999","Region 3","H3",0.226993818675595
1999-01-30,1.88249302999136,"01-30","1999-01-01","1998-1999","Region 3","H3",0.226839337988838
1999-02-06,1.88155847035886,"02-06","1999-01-01","1998-1999","Region 3","H3",0.226726724085376
1999-02-14,1.8809783727455,"02-14","1999-01-01","1998-1999","Region 3","H3",0.226656822653345
1999-02-21,1.88075961491062,"02-21","1999-01-01","1998-1999","Region 3","H3",0.22663046245883
1999-02-27,1.88090893163845,"02-27","1999-01-01","1998-1999","Region 3","H3",0.226648455039494
1999-03-06,1.88143291199582,"03-06","1999-01-01","1998-1999","Region 3","H3",0.226711594374138
1999-03-14,1.88233799636849,"03-14","1999-01-01","1998-1999","Region 3","H3",0.226820656525577
