"date","diff_weeks","month.day","new.year","season","region","dom_type","diff"
1997-09-27,-1.83147285135587,"09-27","1997-01-01","1997-1998","Region 3","H3",-0.220691435520482
1997-10-05,-1.74177069374015,"10-05","1997-01-01","1997-1998","Region 3","H3",-0.209882376615327
1997-10-12,-1.6558419303465,"10-12","1997-01-01","1997-1998","Region 3","H3",-0.199528009564892
1997-10-18,-1.57341867980188,"10-18","1997-01-01","1997-1998","Region 3","H3",-0.189596054816293
1997-10-25,-1.49426997157107,"10-25","1997-01-01","1997-1998","Region 3","H3",-0.180058680551575
1997-11-01,-1.41819455058525,"11-01","1997-01-01","1997-1998","Region 3","H3",-0.170891635649569
1997-11-09,-1.34501455049692,"11-09","1997-01-01","1997-1998","Region 3","H3",-0.162073487316697
1997-11-16,-1.27457024389219,"11-16","1997-01-01","1997-1998","Region 3","H3",-0.153584988490557
1997-11-22,-1.20671587620004,"11-22","1997-01-01","1997-1998","Region 3","H3",-0.14540857582835
1997-11-29,-1.14131648278649,"11-29","1997-01-01","1997-1998","Region 3","H3",-0.137527986168546
1997-12-07,-1.07824554094589,"12-07","1997-01-01","1997-1998","Region 3","H3",-0.129927973597174
1997-12-14,-1.01738329667297,"12-14","1997-01-01","1997-1998","Region 3","H3",-0.122594107824801
1997-12-20,-0.95861561463198,"12-20","1997-01-01","1997-1998","Region 3","H3",-0.115512635608473
1997-12-27,-0.90183321850578,"12-27","1997-01-01","1997-1998","Region 3","H3",-0.108670389214208
1998-01-04,-0.846931211537082,"01-04","1998-01-01","1997-1998","Region 3","H3",-0.102054728642495
1998-01-11,-0.793808789754118,"01-11","1998-01-01","1997-1998","Region 3","H3",-0.0956535070721463
1998-01-18,-0.742369081009671,"01-18","1998-01-01","1997-1998","Region 3","H3",-0.0894550514645935
1998-01-24,-0.692519060589351,"01-24","1998-01-01","1997-1998","Region 3","H3",-0.0834481523947322
1998-01-31,-0.644169508502179,"01-31","1998-01-01","1997-1998","Region 3","H3",-0.0776220589044625
1998-02-08,-0.597234984802734,"02-08","1998-01-01","1997-1998","Region 3","H3",-0.071966475529021
1998-02-15,-0.551633807781221,"02-15","1998-01-01","1997-1998","Region 3","H3",-0.0664715596688973
1998-02-21,-0.507288026041896,"02-21","1998-01-01","1997-1998","Region 3","H3",-0.0611279182252995
1998-02-28,-0.464123379832317,"02-28","1998-01-01","1997-1998","Region 3","H3",-0.0559266029403508
1998-03-08,-0.42206924990329,"03-08","1998-01-01","1997-1998","Region 3","H3",-0.050859104234743
1998-03-15,-0.381058594033066,"03-15","1998-01-01","1997-1998","Region 3","H3",-0.0459173435589372
1998-03-21,-0.341027872434204,"03-21","1998-01-01","1997-1998","Region 3","H3",-0.0410936644047345
1998-03-28,-0.301916963810455,"03-28","1998-01-01","1997-1998","Region 3","H3",-0.0363808221901772
1998-04-04,-0.263669074022118,"04-04","1998-01-01","1997-1998","Region 3","H3",-0.031771973253777
1998-04-12,-0.226230639283178,"04-12","1998-01-01","1997-1998","Region 3","H3",-0.0272606631898251
1998-04-19,-0.189551225646326,"04-19","1998-01-01","1997-1998","Region 3","H3",-0.0228408147363939
1998-04-25,-0.153583426298741,"04-25","1998-01-01","1997-1998","Region 3","H3",-0.0185067153995379
1998-05-02,-0.118282757935052,"05-02","1998-01-01","1997-1998","Region 3","H3",-0.0142530049662943
1998-05-10,-0.0836075572227126,"05-10","1998-01-01","1997-1998","Region 3","H3",-0.0100746630288193
1998-05-17,-0.0495188781442946,"05-17","1998-01-01","1997-1998","Region 3","H3",-0.00596699661419372
1998-05-23,-0.0159803908002962,"05-23","1998-01-01","1997-1998","Region 3","H3",-0.00192562799021824
1998-05-30,0.0170417179144915,"05-30","1998-01-01","1997-1998","Region 3","H3",0.00205351730302742
1998-06-07,0.0495788414848059,"06-07","1998-01-01","1997-1998","Region 3","H3",0.00597422216257476
1998-06-14,0.0816600486322647,"06-14","1998-01-01","1997-1998","Region 3","H3",0.00983998935282339
1998-06-21,0.113312175772493,"06-21","1998-01-01","1997-1998","Region 3","H3",0.0136540526465722
1998-06-27,0.144559917049456,"06-27","1998-01-01","1997-1998","Region 3","H3",0.0174193876741049
1998-07-04,0.175425911967641,"07-04","1998-01-01","1998-1999","Region 3","H3",0.0211387224828187
1998-07-12,0.205930830671154,"07-12","1998-01-01","1998-1999","Region 3","H3",0.0248145478133061
1998-07-19,0.236093456936026,"07-19","1998-01-01","1998-1999","Region 3","H3",0.028449127099881
1998-07-25,0.265930768950241,"07-25","1998-01-01","1998-1999","Region 3","H3",0.0320445062045261
1998-08-01,0.295458017958165,"08-01","1998-01-01","1998-1999","Region 3","H3",0.0356025228935014
1998-08-09,0.324688804843426,"08-09","1998-01-01","1998-1999","Region 3","H3",0.0391248160655383
1998-08-16,0.353635154718637,"08-16","1998-01-01","1998-1999","Region 3","H3",0.0426128347398577
1998-08-22,0.38230758958302,"08-22","1998-01-01","1998-1999","Region 3","H3",0.0460678468113736
1998-08-29,0.410715199100603,"08-29","1998-01-01","1998-1999","Region 3","H3",0.0494909475794246
1998-09-05,0.438865709542964,"09-05","1998-01-01","1998-1999","Region 3","H3",0.0528830680553353
1998-09-13,0.466765550931946,"09-13","1998-01-01","1998-1999","Region 3","H3",0.0562449830530761
1998-09-20,0.494419922410313,"09-20","1998-01-01","1998-1999","Region 3","H3",0.0595773190663886
1998-09-26,0.52183285586087,"09-26","1998-01-01","1998-1999","Region 3","H3",0.0628805619348549
1998-10-03,0.549007277788562,"10-03","1998-01-01","1998-1999","Region 3","H3",0.066155064300654
1998-10-11,0.575945069475042,"10-11","1998-01-01","1998-1999","Region 3","H3",0.0694010528571536
1998-10-18,0.602647125410946,"10-18","1998-01-01","1998-1999","Region 3","H3",0.0726186353899661
1998-10-24,0.629113410008065,"10-24","1998-01-01","1998-1999","Region 3","H3",0.0758078076107325
1998-10-31,0.655343012591361,"10-31","1998-01-01","1998-1999","Region 3","H3",0.0789684597836292
1998-11-08,0.681334200669418,"11-08","1998-01-01","1998-1999","Region 3","H3",0.0821003831444274
1998-11-15,0.707084471481523,"11-15","1998-01-01","1998-1999","Region 3","H3",0.0852032761118867
1998-11-22,0.732590601819582,"11-22","1998-01-01","1998-1999","Region 3","H3",0.0882767502912672
1998-11-28,0.75784869612401,"11-28","1998-01-01","1998-1999","Region 3","H3",0.0913203362698578
1998-12-05,0.782854232854092,"12-05","1998-01-01","1998-1999","Region 3","H3",0.0943334892045772
1998-12-13,0.807602109135053,"12-13","1998-01-01","1998-1999","Region 3","H3",0.0973155942019214
1998-12-20,0.832086683686426,"12-20","1998-01-01","1998-1999","Region 3","H3",0.100265971490807
1998-12-26,0.856301818038814,"12-26","1998-01-01","1998-1999","Region 3","H3",0.103183881389167
1999-01-02,0.880240916048755,"01-02","1999-01-01","1998-1999","Region 3","H3",0.106068529065472
1999-01-10,0.903896961724787,"01-10","1999-01-01","1998-1999","Region 3","H3",0.108919069096746
1999-01-17,0.927262555380521,"01-17","1999-01-01","1998-1999","Region 3","H3",0.111734609824994
1999-01-23,0.950329948133971,"01-23","1999-01-01","1998-1999","Region 3","H3",0.114514217514349
1999-01-30,0.97309107477561,"01-30","1999-01-01","1998-1999","Region 3","H3",0.117256920311657
1999-02-06,0.995537585030754,"02-06","1999-01-01","1998-1999","Region 3","H3",0.119961712013573
1999-02-14,1.01766087324524,"02-14","1999-01-01","1998-1999","Region 3","H3",0.122627555643674
1999-02-21,1.03945210652636,"02-21","1999-01-01","1998-1999","Region 3","H3",0.125253386843416
1999-02-27,1.06090225137408,"02-27","1999-01-01","1998-1999","Region 3","H3",0.127838117081192
1999-03-06,1.08200209884059,"03-06","1999-01-01","1998-1999","Region 3","H3",0.130380636684036
1999-03-14,1.10274228825877,"03-14","1999-01-01","1998-1999","Region 3","H3",0.132879817696888
1999-03-21,1.12311332958292,"03-21","1999-01-01","1998-1999","Region 3","H3",0.13533451657465
1999-03-27,1.14310562438765,"03-27","1999-01-01","1998-1999","Region 3","H3",0.137743576712527
1999-04-03,1.16270948557269,"04-03","1999-01-01","1998-1999","Region 3","H3",0.140105830820453
1999-04-11,1.18191515582386,"04-11","1999-01-01","1998-1999","Region 3","H3",0.142420103147627
1999-04-18,1.20071282488214,"04-18","1999-01-01","1998-1999","Region 3","H3",0.144685211563424
1999-04-25,1.21909264567425,"04-25","1999-01-01","1998-1999","Region 3","H3",0.146899969501124
1999-05-01,1.23704474936018,"05-01","1999-01-01","1998-1999","Region 3","H3",0.149063187771122
1999-05-08,1.25455925935369,"05-08","1999-01-01","1998-1999","Region 3","H3",0.151173676250405
1999-05-16,1.27162630437367,"05-16","1999-01-01","1998-1999","Region 3","H3",0.15323024545522
1999-05-23,1.28823603058453,"05-23","1999-01-01","1998-1999","Region 3","H3",0.155231708003989
