replicate,total_sequences,north_america,other_regions,china,southeast_asia,west_asia,japan_korea,south_asia,oceania,europe,south_america,africa,percent_north_america
0,8816,3543,5273,990,819,292,582,279,1033,473,362,443,40.19
1,8816,3543,5273,990,819,292,582,279,1033,473,362,443,40.19
2,8816,3543,5273,990,819,292,582,279,1033,473,362,443,40.19
3,8816,3543,5273,990,819,292,582,279,1033,473,362,443,40.19
4,8815,3542,5273,990,819,292,582,279,1033,473,362,443,40.18
