"date","diff_weeks","month.day","new.year","season","region","dom_type","diff"
1997-09-27,0.921407479181775,"09-27","1997-01-01","1997-1998","Region 5","H3",0.111029076477652
1997-10-05,0.920564498799673,"10-05","1997-01-01","1997-1998","Region 5","H3",0.110927497821706
1997-10-12,0.91940967364183,"10-12","1997-01-01","1997-1998","Region 5","H3",0.110788342047887
1997-10-18,0.917950880761717,"10-18","1997-01-01","1997-1998","Region 5","H3",0.110612558336651
1997-10-25,0.916196144187671,"10-25","1997-01-01","1997-1998","Region 5","H3",0.110401113578843
1997-11-01,0.914153627544368,"11-01","1997-01-01","1997-1998","Region 5","H3",0.110154991486588
1997-11-09,0.911831626465921,"11-09","1997-01-01","1997-1998","Region 5","H3",0.10987519167907
1997-11-16,0.909238560817296,"11-16","1997-01-01","1997-1998","Region 5","H3",0.109562728745224
1997-11-22,0.90638296674202,"11-22","1997-01-01","1997-1998","Region 5","H3",0.109218631285483
1997-11-29,0.903273488555112,"11-29","1997-01-01","1997-1998","Region 5","H3",0.108843940934884
1997-12-07,0.899918870501312,"12-07","1997-01-01","1997-1998","Region 5","H3",0.108439711369936
1997-12-14,0.896327948399398,"12-14","1997-01-01","1997-1998","Region 5","H3",0.108007007301773
1997-12-20,0.892509641194283,"12-20","1997-01-01","1997-1998","Region 5","H3",0.107546903458174
1997-12-27,0.888472942439134,"12-27","1997-01-01","1997-1998","Region 5","H3",0.107060483557176
1998-01-04,0.884226911730275,"01-04","1998-01-01","1997-1998","Region 5","H3",0.106548839274975
1998-01-11,0.879780666117978,"01-11","1998-01-01","1997-1998","Region 5","H3",0.106013069210937
1998-01-18,0.875143371516454,"01-18","1998-01-01","1997-1998","Region 5","H3",0.105454277852504
1998-01-24,0.870324234136466,"01-24","1998-01-01","1997-1998","Region 5","H3",0.104873574542831
1998-01-31,0.865332491963738,"01-31","1998-01-01","1997-1998","Region 5","H3",0.104272072453934
1998-02-08,0.860177406306338,"02-08","1998-01-01","1997-1998","Region 5","H3",0.103650887568163
1998-02-15,0.854868253433608,"02-15","1998-01-01","1997-1998","Region 5","H3",0.10301113767069
1998-02-21,0.849414316328758,"02-21","1998-01-01","1997-1998","Region 5","H3",0.102353941355704
1998-02-28,0.843824876576647,"02-28","1998-01-01","1997-1998","Region 5","H3",0.101680417048895
1998-03-08,0.838109206407332,"03-08","1998-01-01","1997-1998","Region 5","H3",0.100991682048704
1998-03-15,0.832276560915151,"03-15","1998-01-01","1997-1998","Region 5","H3",0.100288851588729
1998-03-21,0.826336170472018,"03-21","1998-01-01","1997-1998","Region 5","H3",0.0995730379235265
1998-03-28,0.820297233352479,"03-28","1998-01-01","1997-1998","Region 5","H3",0.0988453494399422
1998-04-04,0.81416890858681,"04-04","1998-01-01","1997-1998","Region 5","H3",0.0981068897959076
1998-04-12,0.807960309057145,"04-12","1998-01-01","1997-1998","Region 5","H3",0.09735875708853
1998-04-19,0.801680494850202,"04-19","1998-01-01","1997-1998","Region 5","H3",0.0966020430530988
1998-04-25,0.795338466878747,"04-25","1998-01-01","1997-1998","Region 5","H3",0.0958378322944762
1998-05-02,0.788943160782402,"05-02","1998-01-01","1997-1998","Region 5","H3",0.0950672015521474
1998-05-10,0.782503441116881,"05-10","1998-01-01","1997-1998","Region 5","H3",0.0942912190000276
1998-05-17,0.776028095839245,"05-17","1998-01-01","1997-1998","Region 5","H3",0.0935109435819376
1998-05-23,0.769525831095045,"05-23","1998-01-01","1997-1998","Region 5","H3",0.0927274243834579
1998-05-30,0.76300526631188,"05-30","1998-01-01","1997-1998","Region 5","H3",0.0919417000407051
1998-06-07,0.756474929602171,"06-07","1998-01-01","1997-1998","Region 5","H3",0.0911547981863693
1998-06-14,0.749943253476531,"06-14","1998-01-01","1997-1998","Region 5","H3",0.0903677349331765
1998-06-21,0.74341857086761,"06-21","1998-01-01","1997-1998","Region 5","H3",0.0895815143947654
1998-06-27,0.736909111462841,"06-27","1998-01-01","1997-1998","Region 5","H3",0.0887971282437847
1998-07-04,0.730422998343166,"07-04","1998-01-01","1998-1999","Region 5","H3",0.0880155553068615
1998-07-12,0.723968244923463,"07-12","1998-01-01","1998-1999","Region 5","H3",0.0872377611959248
1998-07-19,0.717552752189197,"07-19","1998-01-01","1998-1999","Region 5","H3",0.0864646979752233
1998-07-25,0.711184306222587,"07-25","1998-01-01","1998-1999","Region 5","H3",0.0856973038632303
1998-08-01,0.704870576010516,"08-01","1998-01-01","1998-1999","Region 5","H3",0.0849365029684971
1998-08-09,0.698619111525373,"08-09","1998-01-01","1998-1999","Region 5","H3",0.084183205058397
1998-08-16,0.692437342069151,"08-16","1998-01-01","1998-1999","Region 5","H3",0.0834383053595888
1998-08-22,0.68633257487016,"08-22","1998-01-01","1998-1999","Region 5","H3",0.0827026843889223
1998-08-29,0.680311993921072,"08-29","1998-01-01","1998-1999","Region 5","H3",0.0819772078134231
1998-09-05,0.674382659046309,"09-05","1998-01-01","1998-1999","Region 5","H3",0.0812627263379132
1998-09-13,0.668551505186151,"09-13","1998-01-01","1998-1999","Region 5","H3",0.0805600756187467
