"date","diff_weeks","month.day","new.year","season","region","dom_type","diff"
1997-09-27,-4.1405018704718,"09-27","1997-01-01","1997-1998","Region 7","H3",-0.498928117276311
1997-10-05,-4.05410496099695,"10-05","1997-01-01","1997-1998","Region 7","H3",-0.488517338889713
1997-10-12,-3.93275719779507,"10-12","1997-01-01","1997-1998","Region 7","H3",-0.47389500253436
1997-10-18,-3.77952021623627,"10-18","1997-01-01","1997-1998","Region 7","H3",-0.455430033528677
1997-10-25,-3.60241838958362,"10-25","1997-01-01","1997-1998","Region 7","H3",-0.434089364280788
1997-11-01,-3.41349251214952,"11-01","1997-01-01","1997-1998","Region 7","H3",-0.411323903647817
1997-11-09,-3.22562121739112,"11-09","1997-01-01","1997-1998","Region 7","H3",-0.388685519626656
1997-11-16,-3.04889720571656,"11-16","1997-01-01","1997-1998","Region 7","H3",-0.367390376868453
1997-11-22,-2.88883766445204,"11-22","1997-01-01","1997-1998","Region 7","H3",-0.348103293303842
1997-11-29,-2.7468594758589,"11-29","1997-01-01","1997-1998","Region 7","H3",-0.330995002438367
1997-12-07,-2.62182101582112,"12-07","1997-01-01","1997-1998","Region 7","H3",-0.315927939216229
1997-12-14,-2.51146164008115,"12-14","1997-01-01","1997-1998","Region 7","H3",-0.302629697291885
1997-12-20,-2.41331082355144,"12-20","1997-01-01","1997-1998","Region 7","H3",-0.290802579799309
1997-12-27,-2.325125363479,"12-27","1997-01-01","1997-1998","Region 7","H3",-0.280176282084323
1998-01-04,-2.24503743909221,"01-04","1998-01-01","1997-1998","Region 7","H3",-0.270525732807718
1998-01-11,-2.17156033147541,"01-11","1998-01-01","1997-1998","Region 7","H3",-0.261671783186876
1998-01-18,-2.10353776288887,"01-18","1998-01-01","1997-1998","Region 7","H3",-0.253475102412689
1998-01-24,-2.04007921906914,"01-24","1998-01-01","1997-1998","Region 7","H3",-0.24582838402358
1998-01-31,-1.98049924457475,"01-31","1998-01-01","1997-1998","Region 7","H3",-0.238649031029236
1998-02-08,-1.92426676894486,"02-08","1998-01-01","1997-1998","Region 7","H3",-0.231873049741585
1998-02-15,-1.87096526369648,"02-15","1998-01-01","1997-1998","Region 7","H3",-0.225450248715645
1998-02-21,-1.8202625099851,"02-21","1998-01-01","1997-1998","Region 7","H3",-0.219340595769863
1998-02-28,-1.77188819315839,"02-28","1998-01-01","1997-1998","Region 7","H3",-0.213511518142584
1998-03-08,-1.72561757812408,"03-08","1998-01-01","1997-1998","Region 7","H3",-0.207935935383179
1998-03-15,-1.68125976922007,"03-15","1998-01-01","1997-1998","Region 7","H3",-0.202590844673087
