"date","diff_weeks","month.day","new.year","season","region","dom_type","diff"
1997-09-27,3.42468218483802,"09-27","1997-01-01","1997-1998","Region 5","H3",0.412672252833992
1997-10-05,3.40012274771305,"10-05","1997-01-01","1997-1998","Region 5","H3",0.409712854647625
1997-10-12,3.37525440638132,"10-12","1997-01-01","1997-1998","Region 5","H3",0.40671623368027
1997-10-18,3.35009712634439,"10-18","1997-01-01","1997-1998","Region 5","H3",0.403684795763497
1997-10-25,3.32467079873817,"10-25","1997-01-01","1997-1998","Region 5","H3",0.400620937767854
1997-11-01,3.298995231295,"11-01","1997-01-01","1997-1998","Region 5","H3",0.397527046513806
1997-11-09,3.27309013836713,"11-09","1997-01-01","1997-1998","Region 5","H3",0.394405497569571
1997-11-16,3.2469751300557,"11-16","1997-01-01","1997-1998","Region 5","H3",0.391258653941171
1997-11-22,3.22066970049507,"11-22","1997-01-01","1997-1998","Region 5","H3",0.38808886466069
1997-11-29,3.19419321534731,"11-29","1997-01-01","1997-1998","Region 5","H3",0.384898463279382
1997-12-07,3.16756489856703,"12-07","1997-01-01","1997-1998","Region 5","H3",0.381689766272826
1997-12-14,3.14080381850092,"12-14","1997-01-01","1997-1998","Region 5","H3",0.378465071365939
1997-12-20,3.1139288733907,"12-20","1997-01-01","1997-1998","Region 5","H3",0.375226655786086
1997-12-27,3.08695877635192,"12-27","1997-01-01","1997-1998","Region 5","H3",0.371976774453032
1998-01-04,3.05991203990388,"01-04","1998-01-01","1997-1998","Region 5","H3",0.368717658114811
1998-01-11,3.03280696012891,"01-11","1998-01-01","1997-1998","Region 5","H3",0.365451511438924
1998-01-18,3.00566160054089,"01-18","1998-01-01","1997-1998","Region 5","H3",0.362180511068504
1998-01-24,2.97849377574448,"01-24","1998-01-01","1997-1998","Region 5","H3",0.358906803653267
1998-01-31,2.95132103496698,"01-31","1998-01-01","1997-1998","Region 5","H3",0.355632503865108
1998-02-08,2.92416064554534,"02-08","1998-01-01","1997-1998","Region 5","H3",0.352359692408297
1998-02-15,2.89702957644954,"02-15","1998-01-01","1997-1998","Region 5","H3",0.34909041403405
1998-02-21,2.86994448192286,"02-21","1998-01-01","1997-1998","Region 5","H3",0.345826675569198
1998-02-28,2.84292168531762,"02-28","1998-01-01","1997-1998","Region 5","H3",0.3425704439684
1998-03-08,2.81597716320226,"03-08","1998-01-01","1997-1998","Region 5","H3",0.339323644399054
1998-03-15,2.78912652981287,"03-15","1998-01-01","1997-1998","Region 5","H3",0.336088158367715
1998-03-21,2.7623850219184,"03-21","1998-01-01","1997-1998","Region 5","H3",0.332865821896364
1998-03-28,2.73576748416513,"03-28","1998-01-01","1997-1998","Region 5","H3",0.329658423756424
1998-04-04,2.70928835496089,"04-04","1998-01-01","1997-1998","Region 5","H3",0.326467703767815
1998-04-12,2.68296165295507,"04-12","1998-01-01","1997-1998","Region 5","H3",0.323295351169805
1998-04-19,2.65680096416491,"04-19","1998-01-01","1997-1998","Region 5","H3",0.320143003069733
1998-04-25,2.63081942979325,"04-25","1998-01-01","1997-1998","Region 5","H3",0.317012242975057
1998-05-02,2.60502973477703,"05-02","1998-01-01","1997-1998","Region 5","H3",0.313904599413455
1998-05-10,2.57944409710005,"05-10","1998-01-01","1997-1998","Region 5","H3",0.310821544645016
1998-05-17,2.55407425789757,"05-17","1998-01-01","1997-1998","Region 5","H3",0.307764493469852
1998-05-23,2.52893147237437,"05-23","1998-01-01","1997-1998","Region 5","H3",0.304734802133728
