"Estimate","CI_lower","CI_upper","std_error","var"
0.0864908520939757,0.0862556714732078,0.0867260327147436,0.000117030015310027,"HA_titer_tree_lag2"
0.144749850471294,0.144410283469851,0.145089417472737,0.000168974515195812,"HA_wolf_lag2"
0.148435023308871,0.148074765837596,0.148795280780145,0.000179270457068744,"NA_bhatt_ep_lag1"
0.0446159337156148,0.0444446545106549,0.0447872129205746,8.52315463463291e-05,"ha_lbi_shannon"
0.0458273162259613,0.0456664408653197,0.0459881915866028,8.00544103396427e-05,"na_lbi_shannon"
0.0609949654532489,0.0607494061798303,0.0612405247266675,0.000122194615499648,"ha_lbi_shannon_lag1"
0.0455812873847061,0.0454153761347531,0.0457471986346591,8.25603574763424e-05,"na_lbi_shannon_lag1"
0.114596792304434,0.11429860940746,0.114894975201408,0.000148381056585719,"prior_dom_type_national"
0.0950980019412636,0.0947993602562925,0.0953966436262347,0.000148609357566405,"H3_epi_size_prior"
0.0444033185014604,0.0442107127982734,0.0445959242046474,9.58439871413642e-05,"H1_epi_size_prior"
0.0293902090000643,0.0292105205259246,0.0295698974742039,8.94161466660857e-05,"IVB_epi_size_prior"
0.0693752475751376,0.0691478082476523,0.0696026869026229,0.000113177811550956,"vac_combined"
0.0370804335652461,0.0369029614704646,0.0372579056600276,8.83132372963615e-05,"vac_cov_combined"
0.0294873545425849,0.0293174838215863,0.0296572252635835,8.45306599424961e-05,"weighted_VE"
0.0459061772903845,0.0457159930762709,0.0460963615044981,9.46390115680731e-05,"vac_combined_prior"
0.038199437863255,0.038007379280723,0.038391496445787,9.55717302758633e-05,"vac_cov_combined_prior"
0.0449379627672274,0.0448036573932993,0.0450722681411555,6.68327174054595e-05,"weighted_VE_prior_season"
0.0484444650569069,0.0482460295505762,0.0486429005632376,9.87449997712806e-05,"usa_bhatt_ep_mean"
0.0404981045259333,0.0403377835654403,0.0406584254864262,7.97785310700615e-05,"usa_wolf_ep_mean"
