"Estimate","CI_lower","CI_upper","std_error","var"
0.0416632898151493,0.0414636759502527,0.041862903680046,9.93313717289911e-05,"IVB_cum_intensity"
0.171151075931988,0.1707085804433,0.171593571420677,0.00022019354165645,"prior_dom_type_national"
0.118685302589433,0.118370933824798,0.118999671354067,0.000156435429152536,"H3_epi_size_prior"
0.0510243065549273,0.0508288414595071,0.0512197716503475,9.7266871032613e-05,"H1_epi_size_prior"
0.0159168312010492,0.0158038204797494,0.0160298419223491,5.62361235408609e-05,"IVB_epi_size_prior"
0.0388923153144947,0.0387171877209194,0.03906744290807,8.71465722405544e-05,"usa_bhatt_ep_mean"
0.0320206170033429,0.0318671319358847,0.0321741020708012,7.6376870406469e-05,"usa_wolf_ep_mean"
0.192303660795691,0.191821001424361,0.19278632016702,0.000240179796412743,"NA_bhatt_ep_lag1"
0.0368531304992832,0.0367034335644061,0.0370028274341603,7.44918289752413e-05,"NA_bhatt_nonepitope_lag1"
0.0861912660867172,0.085962674287702,0.0864198578857325,0.000113751301664039,"HA_koel_lag2"
0.0691028596496133,0.0689255407879487,0.0692801785112779,8.8236985800992e-05,"HA_titer_tree_lag2"
0.159846875098404,0.159474486719821,0.160219263476987,0.000185307010010092,"HA_wolf_lag2"
0.0665672306557238,0.0663527905504108,0.0667816707610367,0.000106709169853889,"HA_wolf_nonepitope_lag2"
0.0603762395205266,0.0601867462515281,0.060565732789525,9.42951851203652e-05,"HA_std_lbi"
0.0383085829604168,0.038160912431524,0.0384562534893097,7.3483453699285e-05,"NA_std_lbi"
0.0689245724040575,0.0686610059318832,0.0691881388762317,0.000131155314468716,"vac_combined"
0.0409492399564874,0.0407539093127485,0.0411445706002262,9.71999655100792e-05,"vac_combined_prior"
0.0361209011878726,0.0359837374264595,0.0362580649492857,6.82551013163726e-05,"vac_cov_combined_prior"
0.027137601783453,0.0270122120478998,0.0272629915190062,6.23961388638172e-05,"weighted_VE"
0.0297061578064686,0.0295399384191884,0.0298723771937488,8.27136920325753e-05,"weighted_VE_prior_season"
