"date","diff_weeks","month.day","new.year","season","region","dom_type","diff"
1997-09-27,3.04325519057551,"09-27","1997-01-01","1997-1998","Region 4","H3",0.36671051725722
1997-10-05,3.03480775401206,"10-05","1997-01-01","1997-1998","Region 4","H3",0.365692605962343
1997-10-12,3.02606377439543,"10-12","1997-01-01","1997-1998","Region 4","H3",0.364638961398446
1997-10-18,3.01703434138337,"10-18","1997-01-01","1997-1998","Region 4","H3",0.363550919862973
1997-10-25,3.00773074247394,"10-25","1997-01-01","1997-1998","Region 4","H3",0.362429841493009
1997-11-01,2.99816445496358,"11-01","1997-01-01","1997-1998","Region 4","H3",0.361277109296243
1997-11-09,2.98834713736616,"11-09","1997-01-01","1997-1998","Region 4","H3",0.360094128116952
1997-11-16,2.97829062030739,"11-16","1997-01-01","1997-1998","Region 4","H3",0.358882323538799
1997-11-22,2.96800689691303,"11-22","1997-01-01","1997-1998","Region 4","H3",0.357643140726607
1997-11-29,2.95750811271217,"11-29","1997-01-01","1997-1998","Region 4","H3",0.356378043209714
1997-12-07,2.94680655508051,"12-07","1997-01-01","1997-1998","Region 4","H3",0.355088511609893
1997-12-14,2.9359146422516,"12-14","1997-01-01","1997-1998","Region 4","H3",0.353776042317217
1997-12-20,2.92484491192728,"12-20","1997-01-01","1997-1998","Region 4","H3",0.352442146117614
1997-12-27,2.9136100095211,"12-27","1997-01-01","1997-1998","Region 4","H3",0.351088346776217
1998-01-04,2.90222267607167,"01-04","1998-01-01","1997-1998","Region 4","H3",0.349716179580922
1998-01-11,2.89069573586483,"01-11","1998-01-01","1997-1998","Region 4","H3",0.348327189850867
1998-01-18,2.87904208380606,"01-18","1998-01-01","1997-1998","Region 4","H3",0.346922931414821
1998-01-24,2.86727467258632,"01-24","1998-01-01","1997-1998","Region 4","H3",0.345504965064666
1998-01-31,2.8554064996858,"01-31","1998-01-01","1997-1998","Region 4","H3",0.344074856989364
1998-02-08,2.84345059426181,"02-08","1998-01-01","1997-1998","Region 4","H3",0.342634177194949
1998-02-15,2.83142000396726,"02-15","1998-01-01","1997-1998","Region 4","H3",0.341184497916167
1998-02-21,2.81932778174706,"02-21","1998-01-01","1997-1998","Region 4","H3",0.339727392025444
1998-02-28,2.80718697265978,"02-28","1998-01-01","1997-1998","Region 4","H3",0.33826443144491
1998-03-08,2.79501060077148,"03-08","1998-01-01","1997-1998","Region 4","H3",0.336797185567108
1998-03-15,2.78281165616821,"03-15","1998-01-01","1997-1998","Region 4","H3",0.335327219690006
1998-03-21,2.77060308213229,"03-21","1998-01-01","1997-1998","Region 4","H3",0.333856093471755
1998-03-28,2.75839776252664,"03-28","1998-01-01","1997-1998","Region 4","H3",0.332385359410498
1998-04-04,2.74620850942906,"04-04","1998-01-01","1997-1998","Region 4","H3",0.330916561354312
1998-04-12,2.73404805105686,"04-12","1998-01-01","1997-1998","Region 4","H3",0.329451233046136
1998-04-19,2.72192902001967,"04-19","1998-01-01","1997-1998","Region 4","H3",0.327990896708235
1998-04-25,2.7098639419356,"04-25","1998-01-01","1997-1998","Region 4","H3",0.326537061670457
1998-05-02,2.69786522444327,"05-02","1998-01-01","1997-1998","Region 4","H3",0.32509122304619
1998-05-10,2.68594514663909,"05-10","1998-01-01","1997-1998","Region 4","H3",0.323654860459558
1998-05-17,2.67411584896592,"05-17","1998-01-01","1997-1998","Region 4","H3",0.322229436827011
1998-05-23,2.662389323576,"05-23","1998-01-01","1997-1998","Region 4","H3",0.320816397196064
1998-05-30,2.65077740518755,"05-30","1998-01-01","1997-1998","Region 4","H3",0.319417167643522
1998-06-07,2.63929176245091,"06-07","1998-01-01","1997-1998","Region 4","H3",0.318033154235108
1998-06-14,2.62794388983666,"06-14","1998-01-01","1997-1998","Region 4","H3",0.316665742047978
1998-06-21,2.61674510005438,"06-21","1998-01-01","1997-1998","Region 4","H3",0.315316294257194
1998-06-27,2.60570651700762,"06-27","1998-01-01","1997-1998","Region 4","H3",0.313986151286798
1998-07-04,2.59483906928679,"07-04","1998-01-01","1998-1999","Region 4","H3",0.312676630025711
1998-07-12,2.58415348419865,"07-12","1998-01-01","1998-1999","Region 4","H3",0.311389023108288
1998-07-19,2.57366028232778,"07-19","1998-01-01","1998-1999","Region 4","H3",0.310124598258979
1998-07-25,2.56336977262217,"07-25","1998-01-01","1998-1999","Region 4","H3",0.308884597700146
1998-08-01,2.55329204799251,"08-01","1998-01-01","1998-1999","Region 4","H3",0.307670237621779
1998-08-09,2.54343698141162,"08-09","1998-01-01","1998-1999","Region 4","H3",0.30648270771148
1998-08-16,2.53381422249827,"08-16","1998-01-01","1998-1999","Region 4","H3",0.305323170742815
1998-08-22,2.52443319456699,"08-22","1998-01-01","1998-1999","Region 4","H3",0.304192762219816
1998-08-29,2.51530309212356,"08-29","1998-01-01","1998-1999","Region 4","H3",0.303092590075196
1998-09-05,2.50643287878387,"09-05","1998-01-01","1998-1999","Region 4","H3",0.302023734419563
1998-09-13,2.49783128559202,"09-13","1998-01-01","1998-1999","Region 4","H3",0.30098724733876
1998-09-20,2.48950680971227,"09-20","1998-01-01","1998-1999","Region 4","H3",0.29998415273624
1998-09-26,2.48146771346781,"09-26","1998-01-01","1998-1999","Region 4","H3",0.299015446217242
1998-10-03,2.47372202369871,"10-03","1998-01-01","1998-1999","Region 4","H3",0.298082095011421
1998-10-11,2.46627753140994,"10-11","1998-01-01","1998-1999","Region 4","H3",0.297185037930442
1998-10-18,2.4591417916803,"10-18","1998-01-01","1998-1999","Region 4","H3",0.296325185356997
1998-10-24,2.45232212380196,"10-24","1998-01-01","1998-1999","Region 4","H3",0.295503419261621
1998-10-31,2.44582561162032,"10-31","1998-01-01","1998-1999","Region 4","H3",0.294720593243654
1998-11-08,2.43965910404383,"11-08","1998-01-01","1998-1999","Region 4","H3",0.293977532592661
1998-11-15,2.43382921569279,"11-15","1998-01-01","1998-1999","Region 4","H3",0.293275034366623
1998-11-22,2.42834232765694,"11-22","1998-01-01","1998-1999","Region 4","H3",0.292613867483219
1998-11-28,2.4232045883313,"11-28","1998-01-01","1998-1999","Region 4","H3",0.291994772820545
1998-12-05,2.41842191430024,"12-05","1998-01-01","1998-1999","Region 4","H3",0.291418463323651
1998-12-13,2.4139999912403,"12-13","1998-01-01","1998-1999","Region 4","H3",0.290885624113319
1998-12-20,2.40994427481236,"12-20","1998-01-01","1998-1999","Region 4","H3",0.29039691259358
1998-12-26,2.40625999151477,"12-26","1998-01-01","1998-1999","Region 4","H3",0.289952958554509
1999-01-02,2.40295213946929,"01-02","1999-01-01","1998-1999","Region 4","H3",0.28955436426693
1999-01-10,2.4000254891125,"01-10","1999-01-01","1998-1999","Region 4","H3",0.289201704565735
1999-01-17,2.39748458376609,"01-17","1999-01-01","1998-1999","Region 4","H3",0.288895526918599
1999-01-23,2.39533374005992,"01-23","1999-01-01","1998-1999","Region 4","H3",0.288636351476963
1999-01-30,2.39357704818282,"01-30","1999-01-01","1998-1999","Region 4","H3",0.288424671106251
1999-02-06,2.39221837193652,"02-06","1999-01-01","1998-1999","Region 4","H3",0.28826095139237
1999-02-14,2.391261348569,"02-14","1999-01-01","1998-1999","Region 4","H3",0.288145630621632
1999-02-21,2.39070938836443,"02-21","1999-01-01","1998-1999","Region 4","H3",0.288079119731337
1999-02-27,2.39056567396744,"02-27","1999-01-01","1998-1999","Region 4","H3",0.288061802228348
1999-03-06,2.39083315942018,"03-06","1999-01-01","1998-1999","Region 4","H3",0.288094034073064
1999-03-14,2.39151456889173,"03-14","1999-01-01","1998-1999","Region 4","H3",0.288176143526306
1999-03-21,2.39261239507966,"03-21","1999-01-01","1998-1999","Region 4","H3",0.288308430956714
1999-03-27,2.39412889726473,"03-27","1999-01-01","1998-1999","Region 4","H3",0.28849116860633
1999-04-03,2.39606609900007,"04-03","1999-01-01","1998-1999","Region 4","H3",0.288724600312155
1999-04-11,2.3984257854172,"04-11","1999-01-01","1998-1999","Region 4","H3",0.289008941181521
1999-04-18,2.40120950013177,"04-18","1999-01-01","1998-1999","Region 4","H3",0.289344377219234
1999-04-25,2.40441854173266,"04-25","1999-01-01","1998-1999","Region 4","H3",0.289731064904515
1999-05-01,2.4080539598389,"05-01","1999-01-01","1998-1999","Region 4","H3",0.290169130715858
1999-05-08,2.41211655070937,"05-08","1999-01-01","1998-1999","Region 4","H3",0.290658670602007
1999-05-16,2.41660685239133,"05-16","1999-01-01","1998-1999","Region 4","H3",0.291199749397348
1999-05-23,2.42152513939414,"05-23","1999-01-01","1998-1999","Region 4","H3",0.291792400180104
1999-05-29,2.42687141687586,"05-29","1999-01-01","1998-1999","Region 4","H3",0.292436623571817
1999-06-05,2.43264541433077,"06-05","1999-01-01","1998-1999","Region 4","H3",0.293132386976704
1999-06-13,2.43884657876709,"06-13","1999-01-01","1998-1999","Region 4","H3",0.293879623759568
1999-06-20,2.4454740673649,"06-20","1999-01-01","1998-1999","Region 4","H3",0.294678232361088
1999-06-26,2.45252673960544,"06-26","1999-01-01","1998-1999","Region 4","H3",0.295528075349408
1999-07-03,2.46000314886412,"07-03","1999-01-01","1999-2000","Region 4","H3",0.296428978407083
1999-07-10,2.46790153346045,"07-10","1999-01-01","1999-2000","Region 4","H3",0.29738072925262
1999-07-18,2.47621980715994,"07-18","1999-01-01","1999-2000","Region 4","H3",0.298383076495952
1999-07-25,2.48495554912416,"07-25","1999-01-01","1999-2000","Region 4","H3",0.299435728427426
1999-07-31,2.49410599330676,"07-31","1999-01-01","1999-2000","Region 4","H3",0.30053835174003
1999-08-07,2.50366801729523,"08-07","1999-01-01","1999-2000","Region 4","H3",0.301690570184837
1999-08-15,2.51363813060018,"08-15","1999-01-01","1999-2000","Region 4","H3",0.302891963159865
1999-08-22,2.52401246239587,"08-22","1999-01-01","1999-2000","Region 4","H3",0.304142064232813
1999-08-28,2.53478674871847,"08-28","1999-01-01","1999-2000","Region 4","H3",0.305440359598472
1999-09-04,2.54595631913126,"09-04","1999-01-01","1999-2000","Region 4","H3",0.306786286471874
1999-09-12,2.5575160828687,"09-12","1999-01-01","1999-2000","Region 4","H3",0.308179231418671
