"date","diff_weeks","month.day","new.year","season","region","dom_type","diff"
1997-09-27,3.69078656112811,"09-27","1997-01-01","1997-1998","Region 8","H3",0.444737678624097
1997-10-05,3.49991403792125,"10-05","1997-01-01","1997-1998","Region 8","H3",0.42173764828417
1997-10-12,3.29648224744264,"10-12","1997-01-01","1997-1998","Region 8","H3",0.397224233390801
1997-10-18,3.09483422502373,"10-18","1997-01-01","1997-1998","Region 8","H3",0.372925761532728
1997-10-25,2.91255563751158,"10-25","1997-01-01","1997-1998","Region 8","H3",0.35096129554956
1997-11-01,2.76392230029666,"11-01","1997-01-01","1997-1998","Region 8","H3",0.333051063065428
1997-11-09,2.65555090689213,"11-09","1997-01-01","1997-1998","Region 8","H3",0.3199923718803
1997-11-16,2.58663055092846,"11-16","1997-01-01","1997-1998","Region 8","H3",0.311687508238481
1997-11-22,2.55170534864428,"11-22","1997-01-01","1997-1998","Region 8","H3",0.307479041253981
1997-11-29,2.54344000434177,"11-29","1997-01-01","1997-1998","Region 8","H3",0.306483071972841
1997-12-07,2.55442918835134,"12-07","1997-01-01","1997-1998","Region 8","H3",0.30780726238739
1997-12-14,2.57815203990582,"12-14","1997-01-01","1997-1998","Region 8","H3",0.310665852488969
1997-12-20,2.60936908119486,"12-20","1997-01-01","1997-1998","Region 8","H3",0.314427488185441
1997-12-27,2.64417957475579,"12-27","1997-01-01","1997-1998","Region 8","H3",0.318622132834119
1998-01-04,2.67988320040813,"01-04","1998-01-01","1997-1998","Region 8","H3",0.322924399391151
1998-01-11,2.71475024599663,"01-11","1998-01-01","1997-1998","Region 8","H3",0.327125858526943
1998-01-18,2.74777431674037,"01-18","1998-01-01","1997-1998","Region 8","H3",0.331105240243561
1998-01-24,2.7784517394246,"01-24","1998-01-01","1997-1998","Region 8","H3",0.334801852205479
1998-01-31,2.80660637006082,"01-31","1998-01-01","1997-1998","Region 8","H3",0.338194469162403
1998-02-08,2.83226151590923,"02-08","1998-01-01","1997-1998","Region 8","H3",0.341285899625913
1998-02-15,2.85555213473863,"02-15","1998-01-01","1997-1998","Region 8","H3",0.344092405930287
1998-02-21,2.87666785225757,"02-21","1998-01-01","1997-1998","Region 8","H3",0.34663683786541
1998-02-28,2.89581788076997,"02-28","1998-01-01","1997-1998","Region 8","H3",0.348944405394751
1998-03-08,2.91321067706607,"03-08","1998-01-01","1997-1998","Region 8","H3",0.351040227442816
