"date","diff_weeks","month.day","new.year","season","region","dom_type","diff"
1997-09-27,5.48746104864503,"09-27","1997-01-01","1997-1998","Region 9","H3",0.661235931120492
1997-10-05,5.47833371119885,"10-05","1997-01-01","1997-1998","Region 9","H3",0.660136092156466
1997-10-12,5.46895251468426,"10-12","1997-01-01","1997-1998","Region 9","H3",0.659005663319275
1997-10-18,5.45934456484284,"10-18","1997-01-01","1997-1998","Region 9","H3",0.657847910835342
1997-10-25,5.44953660772999,"10-25","1997-01-01","1997-1998","Region 9","H3",0.656666057589112
1997-11-01,5.43955502020683,"11-01","1997-01-01","1997-1998","Region 9","H3",0.655463281977325
1997-11-09,5.42942579974586,"11-09","1997-01-01","1997-1998","Region 9","H3",0.654242716680613
1997-11-16,5.41917455358129,"11-16","1997-01-01","1997-1998","Region 9","H3",0.653007447356114
1997-11-22,5.4088264872419,"11-22","1997-01-01","1997-1998","Region 9","H3",0.651760511255691
1997-11-29,5.39840639251135,"11-29","1997-01-01","1997-1998","Region 9","H3",0.650504895775154
1997-12-07,5.3879386348667,"12-07","1997-01-01","1997-1998","Region 9","H3",0.649243536940614
1997-12-14,5.37744714045137,"12-14","1997-01-01","1997-1998","Region 9","H3",0.647979317838726
1997-12-20,5.36695538264341,"12-20","1997-01-01","1997-1998","Region 9","H3",0.646715066998176
1997-12-27,5.35648636828369,"12-27","1997-01-01","1997-1998","Region 9","H3",0.645453556730185
1998-01-04,5.34606262363198,"01-04","1998-01-01","1997-1998","Region 9","H3",0.644197501436227
1998-01-11,5.33570618012103,"01-11","1998-01-01","1997-1998","Region 9","H3",0.642949555891402
1998-01-18,5.32543855998034,"01-18","1998-01-01","1997-1998","Region 9","H3",0.641712313512106
1998-01-24,5.31528076180229,"01-24","1998-01-01","1997-1998","Region 9","H3",0.640488304616762
1998-01-31,5.30525324612283,"01-31","1998-01-01","1997-1998","Region 9","H3",0.639279994688299
1998-02-08,5.29537592108905,"02-08","1998-01-01","1997-1998","Region 9","H3",0.638089782647103
1998-02-15,5.2856681282838,"02-15","1998-01-01","1997-1998","Region 9","H3",0.636919999142891
1998-02-21,5.27614862877589,"02-21","1998-01-01","1997-1998","Region 9","H3",0.635772904873773
1998-02-28,5.26683558946187,"02-28","1998-01-01","1997-1998","Region 9","H3",0.634650688940434
1998-03-08,5.25774656976186,"03-08","1998-01-01","1997-1998","Region 9","H3",0.633555467242998
1998-03-15,5.24889850872869,"03-15","1998-01-01","1997-1998","Region 9","H3",0.632489280927685
1998-03-21,5.24030771262545,"03-21","1998-01-01","1997-1998","Region 9","H3",0.63145409488991
1998-03-28,5.23198984302187,"03-28","1998-01-01","1997-1998","Region 9","H3",0.630451796339905
1998-04-04,5.2239599054559,"04-04","1998-01-01","1997-1998","Region 9","H3",0.629484193436449
1998-04-12,5.2162322387015,"04-12","1998-01-01","1997-1998","Region 9","H3",0.628553013993636
1998-04-19,5.20882050467895,"04-19","1998-01-01","1997-1998","Region 9","H3",0.62765990426508
1998-04-25,5.20173767903905,"04-25","1998-01-01","1997-1998","Region 9","H3",0.626806427809312
1998-05-02,5.19499604244749,"05-02","1998-01-01","1997-1998","Region 9","H3",0.625994064439553
1998-05-10,5.1886071725907,"05-10","1998-01-01","1997-1998","Region 9","H3",0.625224209260425
1998-05-17,5.18258193692023,"05-17","1998-01-01","1997-1998","Region 9","H3",0.624498171793651
1998-05-23,5.17693048614747,"05-23","1998-01-01","1997-1998","Region 9","H3",0.623817175194171
1998-05-30,5.17166224849699,"05-30","1998-01-01","1997-1998","Region 9","H3",0.623182355557676
1998-06-07,5.1667859247224,"06-07","1998-01-01","1997-1998","Region 9","H3",0.622594761320021
1998-06-14,5.16230948388518,"06-14","1998-01-01","1997-1998","Region 9","H3",0.622055352748577
1998-06-21,5.15824015989376,"06-21","1998-01-01","1997-1998","Region 9","H3",0.62156500152519
1998-06-27,5.15458444879726,"06-27","1998-01-01","1997-1998","Region 9","H3",0.621124490420076
1998-07-04,5.15134810682583,"07-04","1998-01-01","1998-1999","Region 9","H3",0.620734513055693
1998-07-12,5.14853614916796,"07-12","1998-01-01","1998-1999","Region 9","H3",0.620395673759398
1998-07-19,5.14615284947307,"07-19","1998-01-01","1998-1999","Region 9","H3",0.62010848750351
