"date","diff_weeks","month.day","new.year","season","region","dom_type","diff"
1997-09-27,3.21905941163048,"09-27","1997-01-01","1997-1998","Region 4","H3",0.387894825769606
1997-10-05,3.14660422699782,"10-05","1997-01-01","1997-1998","Region 4","H3",0.379164017286343
1997-10-12,3.07245096955396,"10-12","1997-01-01","1997-1998","Region 4","H3",0.370228591996424
1997-10-18,2.99653086509229,"10-18","1997-01-01","1997-1998","Region 4","H3",0.361080262647121
1997-10-25,2.91877126926647,"10-25","1997-01-01","1997-1998","Region 4","H3",0.351710275636073
1997-11-01,2.8390922719771,"11-01","1997-01-01","1997-1998","Region 4","H3",0.342109001841811
1997-11-09,2.75739996342417,"11-09","1997-01-01","1997-1998","Region 4","H3",0.332265125186921
1997-11-16,2.67357378647798,"11-16","1997-01-01","1997-1998","Region 4","H3",0.322164118605931
1997-11-22,2.58744349573831,"11-22","1997-01-01","1997-1998","Region 4","H3",0.311785467625077
1997-11-29,2.49874770151952,"11-29","1997-01-01","1997-1998","Region 4","H3",0.301097674936103
1997-12-07,11.0975361428146,"12-07","1997-01-01","1997-1998","Region 4","H3",1.33724678489504
1997-12-14,11.0021225664421,"12-14","1997-01-01","1997-1998","Region 4","H3",1.32574950328249
1997-12-20,10.901681124975,"12-20","1997-01-01","1997-1998","Region 4","H3",1.31364636678952
1997-12-27,10.7937884919922,"12-27","1997-01-01","1997-1998","Region 4","H3",1.30064536596254
1998-01-04,10.6736576860467,"01-04","1998-01-01","1997-1998","Region 4","H3",1.2861696722635
1998-01-11,10.5309252819805,"01-11","1998-01-01","1997-1998","Region 4","H3",1.26897049886307
1998-01-18,10.3396667905765,"01-18","1998-01-01","1997-1998","Region 4","H3",1.2459239595752
1998-01-24,10.0181676871643,"01-24","1998-01-01","1997-1998","Region 4","H3",1.20718350071551
1998-01-31,9.22408949650713,"01-31","1998-01-01","1997-1998","Region 4","H3",1.11149753098798
1998-02-08,7.61515420952814,"02-08","1998-01-01","1997-1998","Region 4","H3",0.917621745234405
1998-02-15,6.83307635155633,"02-15","1998-01-01","1997-1998","Region 4","H3",0.823381808760979
1998-02-21,6.52469619258818,"02-21","1998-01-01","1997-1998","Region 4","H3",0.786222175235245
1998-02-28,6.35092296355885,"02-28","1998-01-01","1997-1998","Region 4","H3",0.76528260010525
1998-03-08,6.2304273364007,"03-08","1998-01-01","1997-1998","Region 4","H3",0.750762945657854
