"","date","season","observed","pop","predicted","predicted_upper","predicted_lower","baseline","baseline_upper","baseline_lower","flu_ah1","flu_upper_ah1","flu_lower_ah1","flu_ah3","flu_upper_ah3","flu_lower_ah3","flu_a2009","flu_upper_a2009","flu_lower_a2009","flu_b","flu_upper_b","flu_lower_b","rsv","rsv_upper","rsv_lower","age","var"
"19",1999-07-04,"1999/2000",0.0854,3770974,0.1082,0.1555,0.0631,0.0981,0.1427,0.0556,0,0,0,0,0,0,0,0,0,0,0,0,0.0101,0.0128,0.0075,1,"pi_uc"
"20",1999-07-11,"1999/2000",0.0853,3770974,0.1035,0.1509,0.0583,0.0959,0.1413,0.0527,0,0,0,0,0,0,0,0,0,0,0,0,0.0075,0.0095,0.0056,1,"pi_uc"
"21",1999-07-18,"1999/2000",0.0798,3770974,0.1004,0.1482,0.0549,0.0943,0.1405,0.0504,0,0,0,0,0,0,0,0,0,0,0,0,0.0061,0.0077,0.0045,1,"pi_uc"
"22",1999-07-25,"1999/2000",0.0796,3770974,0.0965,0.1442,0.0511,0.0933,0.1401,0.0486,0,0,0,0,0,0,0,0,0,0,0,0,0.0033,0.0041,0.0024,1,"pi_uc"
"23",1999-08-01,"1999/2000",0.0955,3770974,0.0974,0.1461,0.0509,0.0927,0.1401,0.0474,0,0,0,0,0,0,0,0,0,0,0,0,0.0047,0.006,0.0035,1,"pi_uc"
"24",1999-08-08,"1999/2000",0.0902,3770974,0.0981,0.1477,0.0508,0.0925,0.1406,0.0466,0,0,0,0,0,0,0,0,0,0,0,0,0.0056,0.0071,0.0041,1,"pi_uc"
"25",1999-08-15,"1999/2000",0.0902,3770974,0.0988,0.1491,0.0508,0.0928,0.1415,0.0463,0,0,0,0,0,0,0,0,0,0,0,0,0.0061,0.0077,0.0045,1,"pi_uc"
"26",1999-08-22,"1999/2000",0.1008,3770974,0.0978,0.1482,0.0497,0.0934,0.1427,0.0464,0,0,0,0,0,0,0,0,0,0,0,0,0.0044,0.0056,0.0032,1,"pi_uc"
"27",1999-08-29,"1999/2000",0.1061,3770974,0.0977,0.1483,0.0494,0.0944,0.1442,0.0469,0,0,0,0,0,0,0,0,0,0,0,0,0.0033,0.0041,0.0024,1,"pi_uc"
"28",1999-09-05,"1999/2000",0.1008,3770974,0.0996,0.1508,0.0506,0.0958,0.146,0.0478,0,0,0,0,0,0,0,0,0,0,0,0,0.0038,0.0048,0.0028,1,"pi_uc"
