"","date","season","observed","pop","predicted","predicted_upper","predicted_lower","baseline","baseline_upper","baseline_lower","flu_ah1","flu_upper_ah1","flu_lower_ah1","flu_ah3","flu_upper_ah3","flu_lower_ah3","flu_a2009","flu_upper_a2009","flu_lower_a2009","flu_b","flu_upper_b","flu_lower_b","rsv","rsv_upper","rsv_lower","age","var"
"19",1999-07-04,"1999/2000",0.0079,15236889,0.0083,0.0166,-3e-04,0.0085,0.0165,3e-04,0,0,0,0,0,0,0,0,0,0,0,0,-2e-04,1e-04,-6e-04,2,"pi_uc"
"20",1999-07-11,"1999/2000",0.0065,15236889,0.008,0.0164,-7e-04,0.0082,0.0163,-2e-04,0,0,0,0,0,0,0,0,0,0,0,0,-2e-04,1e-04,-5e-04,2,"pi_uc"
"21",1999-07-18,"1999/2000",0.0052,15236889,0.0078,0.0162,-8e-04,0.0079,0.0161,-6e-04,0,0,0,0,0,0,0,0,0,0,0,0,-1e-04,1e-04,-3e-04,2,"pi_uc"
"22",1999-07-25,"1999/2000",0.0026,15236889,0.0075,0.0161,-0.0012,0.0077,0.016,-9e-04,0,0,0,0,0,0,0,0,0,0,0,0,-1e-04,1e-04,-4e-04,2,"pi_uc"
"23",1999-08-01,"1999/2000",0.0039,15236889,0.0074,0.0161,-0.0015,0.0076,0.016,-0.0011,0,0,0,0,0,0,0,0,0,0,0,0,-2e-04,1e-04,-5e-04,2,"pi_uc"
"24",1999-08-08,"1999/2000",0.0053,15236889,0.0073,0.0162,-0.0017,0.0075,0.016,-0.0012,0,0,0,0,0,0,0,0,0,0,0,0,-2e-04,1e-04,-5e-04,2,"pi_uc"
"25",1999-08-15,"1999/2000",0.0079,15236889,0.0074,0.0162,-0.0016,0.0075,0.0161,-0.0012,0,0,0,0,0,0,0,0,0,0,0,0,-1e-04,1e-04,-4e-04,2,"pi_uc"
"26",1999-08-22,"1999/2000",0.0079,15236889,0.0075,0.0164,-0.0015,0.0076,0.0163,-0.0012,0,0,0,0,0,0,0,0,0,0,0,0,-1e-04,1e-04,-3e-04,2,"pi_uc"
"27",1999-08-29,"1999/2000",0.0105,15236889,0.0076,0.0166,-0.0014,0.0077,0.0165,-0.0011,0,0,0,0,0,0,0,0,0,0,0,0,-1e-04,1e-04,-3e-04,2,"pi_uc"
"28",1999-09-05,"1999/2000",0.0118,15236889,0.0078,0.0168,-0.0012,0.0079,0.0167,-0.001,0,0,0,0,0,0,0,0,0,0,0,0,-1e-04,0,-2e-04,2,"pi_uc"
"29",1999-09-12,"1999/2000",0.0118,15236889,0.008,0.0171,-0.0012,0.0081,0.017,-8e-04,0,0,0,0,0,0,0,0,0,0,0,0,-1e-04,1e-04,-4e-04,2,"pi_uc"
"30",1999-09-19,"1999/2000",0.0105,15236889,0.0082,0.0175,-0.0011,0.0084,0.0174,-6e-04,0,0,0,0,0,0,0,0,0,0,0,0,-2e-04,1e-04,-5e-04,2,"pi_uc"
"31",1999-09-26,"1999/2000",0.0105,15236889,0.0085,0.0178,-8e-04,0.0087,0.0177,-3e-04,0,0,0,0,0,0,0,0,0,0,0,0,-2e-04,1e-04,-5e-04,2,"pi_uc"
"32",1999-10-03,"1999/2000",0.0079,15236889,0.0089,0.0182,-3e-04,0.009,0.0181,0,0,0,0,0,0,0,0,0,0,0,0,0,-1e-04,1e-04,-3e-04,2,"pi_uc"
"33",1999-10-10,"1999/2000",0.0092,15236889,0.0092,0.0186,-1e-04,0.0094,0.0185,3e-04,0,0,0,0,0,0,0,0,0,0,0,0,-2e-04,1e-04,-4e-04,2,"pi_uc"
"34",1999-10-17,"1999/2000",0.0092,15236889,0.0095,0.0191,0,0.0098,0.019,7e-04,0,0,0,0,0,0,0,0,0,0,0,0,-3e-04,2e-04,-7e-04,2,"pi_uc"
"35",1999-10-24,"1999/2000",0.0092,15236889,0.0101,0.0197,5e-04,0.0102,0.0194,0.001,0,0,0,2e-04,2e-04,1e-04,0,0,0,0,0,0,-3e-04,1e-04,-7e-04,2,"pi_uc"
"36",1999-10-31,"1999/2000",0.0105,15236889,0.0107,0.0204,0.001,0.0106,0.0199,0.0014,0,0,0,3e-04,3e-04,3e-04,0,0,0,0,0,0,-3e-04,2e-04,-7e-04,2,"pi_uc"
"37",1999-11-07,"1999/2000",0.0105,15236889,0.0111,0.021,0.0013,0.0111,0.0204,0.0018,0,0,0,3e-04,4e-04,3e-04,0,0,0,1e-04,1e-04,1e-04,-3e-04,2e-04,-9e-04,2,"pi_uc"
"38",1999-11-14,"1999/2000",0.0105,15236889,0.0116,0.0216,0.0015,0.0115,0.0209,0.0022,0,0,0,5e-04,5e-04,4e-04,0,0,0,0,0,0,-4e-04,2e-04,-0.0011,2,"pi_uc"
"39",1999-11-21,"1999/2000",0.0118,15236889,0.0122,0.0224,0.0018,0.012,0.0214,0.0026,0,0,0,7e-04,7e-04,6e-04,0,0,0,0,0,0,-5e-04,3e-04,-0.0014,2,"pi_uc"
"40",1999-11-28,"1999/2000",0.0118,15236889,0.013,0.0236,0.0023,0.0124,0.0219,0.003,0,0,0,0.0012,0.0013,0.0011,0,0,0,0,0,0,-7e-04,4e-04,-0.0018,2,"pi_uc"
"41",1999-12-05,"1999/2000",0.0158,15236889,0.0137,0.0244,0.0029,0.0129,0.0224,0.0033,0,0,0,0.0015,0.0016,0.0013,0,0,0,0,0,0,-7e-04,4e-04,-0.0018,2,"pi_uc"
"42",1999-12-12,"1999/2000",0.0171,15236889,0.0151,0.026,0.0039,0.0133,0.0228,0.0037,0,0,0,0.0025,0.0027,0.0022,0,0,0,0,0,0,-7e-04,4e-04,-0.002,2,"pi_uc"
"43",1999-12-19,"1999/2000",0.0171,15236889,0.0163,0.0275,0.0048,0.0137,0.0233,0.004,0,0,0,0.0034,0.0037,0.003,0,0,0,0,0,0,-8e-04,5e-04,-0.0023,2,"pi_uc"
"44",1999-12-26,"1999/2000",0.0197,15236889,0.0194,0.031,0.0074,0.0141,0.0237,0.0044,0,0,0,0.0061,0.0067,0.0055,0,0,0,0,0,0,-9e-04,5e-04,-0.0024,2,"pi_uc"
"45",2000-01-02,"1999/2000",0.0236,15236889,0.0214,0.0335,0.0087,0.0145,0.0241,0.0047,1e-04,2e-04,0,0.0078,0.0085,0.0069,0,0,0,0,0,0,-0.0011,6e-04,-0.0029,2,"pi_uc"
"46",2000-01-09,"1999/2000",0.0184,15236889,0.033,0.0464,0.0189,0.0149,0.0245,0.0049,1e-04,3e-04,0,0.0191,0.0209,0.017,0,0,0,0,0,0,-0.0011,6e-04,-0.003,2,"pi_uc"
"47",2000-01-16,"1999/2000",0.0328,15236889,0.0383,0.052,0.0238,0.0152,0.0249,0.0052,1e-04,2e-04,0,0.024,0.0262,0.0213,0,0,0,1e-04,1e-04,1e-04,-0.001,6e-04,-0.0028,2,"pi_uc"
"48",2000-01-23,"1999/2000",0.0341,15236889,0.0322,0.0453,0.0184,0.0154,0.0252,0.0053,0,1e-04,0,0.0177,0.0194,0.0158,0,0,0,0,0,0,-0.001,6e-04,-0.0027,2,"pi_uc"
"49",2000-01-30,"1999/2000",0.0315,15236889,0.0285,0.0414,0.015,0.0157,0.0255,0.0055,0,0,0,0.0139,0.0152,0.0123,0,0,0,1e-04,1e-04,1e-04,-0.0011,6e-04,-0.0029,2,"pi_uc"
"50",2000-02-06,"1999/2000",0.0276,15236889,0.0218,0.0341,0.0087,0.0159,0.0257,0.0056,1e-04,1e-04,0,0.007,0.0076,0.0062,0,0,0,1e-04,1e-04,0,-0.0012,7e-04,-0.0031,2,"pi_uc"
"51",2000-02-13,"1999/2000",0.0289,15236889,0.0197,0.0324,0.0063,0.016,0.0259,0.0057,1e-04,1e-04,0,0.005,0.0055,0.0045,0,0,0,1e-04,1e-04,1e-04,-0.0015,9e-04,-0.004,2,"pi_uc"
"52",2000-02-20,"1999/2000",0.0144,15236889,0.0177,0.0303,0.0044,0.0161,0.026,0.0057,1e-04,2e-04,0,0.003,0.0032,0.0026,0,0,0,0,0,0,-0.0015,8e-04,-0.0039,2,"pi_uc"
"53",2000-02-27,"1999/2000",0.0131,15236889,0.0167,0.0294,0.0034,0.0161,0.026,0.0057,0,1e-04,0,0.0021,0.0023,0.0019,0,0,0,0,0,0,-0.0016,9e-04,-0.0042,2,"pi_uc"
"54",2000-03-05,"1999/2000",0.0118,15236889,0.0157,0.0282,0.0025,0.016,0.026,0.0056,1e-04,1e-04,0,0.001,0.0011,9e-04,0,0,0,1e-04,1e-04,1e-04,-0.0015,9e-04,-0.004,2,"pi_uc"
"55",2000-03-12,"1999/2000",0.0144,15236889,0.0154,0.0278,0.0023,0.0159,0.026,0.0054,2e-04,3e-04,0,6e-04,7e-04,5e-04,0,0,0,1e-04,1e-04,1e-04,-0.0014,8e-04,-0.0038,2,"pi_uc"
"56",2000-03-19,"1999/2000",0.0171,15236889,0.0152,0.0274,0.0024,0.0158,0.0259,0.0052,1e-04,2e-04,0,5e-04,5e-04,4e-04,0,0,0,1e-04,1e-04,1e-04,-0.0012,7e-04,-0.0033,2,"pi_uc"
"57",2000-03-26,"1999/2000",0.0197,15236889,0.0149,0.0271,0.0021,0.0155,0.0257,0.005,2e-04,3e-04,0,2e-04,3e-04,2e-04,0,0,0,1e-04,1e-04,1e-04,-0.0012,7e-04,-0.0031,2,"pi_uc"
"58",2000-04-02,"1999/2000",0.0184,15236889,0.0147,0.0264,0.0024,0.0153,0.0255,0.0047,2e-04,3e-04,0,1e-04,1e-04,1e-04,0,0,0,1e-04,1e-04,1e-04,-9e-04,5e-04,-0.0024,2,"pi_uc"
"59",2000-04-09,"1999/2000",0.0171,15236889,0.0143,0.0258,0.0023,0.015,0.0252,0.0043,1e-04,2e-04,0,0,0,0,0,0,0,0,0,0,-8e-04,4e-04,-0.0021,2,"pi_uc"
"60",2000-04-16,"1999/2000",0.0171,15236889,0.0142,0.0254,0.0025,0.0146,0.0249,0.004,1e-04,1e-04,0,0,0,0,0,0,0,1e-04,1e-04,1e-04,-6e-04,3e-04,-0.0015,2,"pi_uc"
"61",2000-04-23,"1999/2000",0.0131,15236889,0.0138,0.025,0.0021,0.0142,0.0245,0.0036,0,1e-04,0,0,0,0,0,0,0,1e-04,1e-04,1e-04,-6e-04,3e-04,-0.0015,2,"pi_uc"
"62",2000-04-30,"1999/2000",0.0105,15236889,0.0134,0.0246,0.0019,0.0138,0.0241,0.0031,1e-04,1e-04,0,0,0,0,0,0,0,0,1e-04,0,-5e-04,3e-04,-0.0013,2,"pi_uc"
"63",2000-05-07,"1999/2000",0.0105,15236889,0.0131,0.0241,0.0019,0.0133,0.0237,0.0027,0,0,0,0,0,0,0,0,0,1e-04,1e-04,1e-04,-3e-04,2e-04,-8e-04,2,"pi_uc"
"64",2000-05-14,"1999/2000",0.0131,15236889,0.0127,0.0235,0.0016,0.0128,0.0232,0.0022,0,1e-04,0,0,0,0,0,0,0,0,0,0,-2e-04,1e-04,-6e-04,2,"pi_uc"
"65",2000-05-21,"1999/2000",0.0092,15236889,0.0122,0.023,0.0011,0.0123,0.0228,0.0017,0,0,0,0,0,0,0,0,0,1e-04,1e-04,1e-04,-2e-04,1e-04,-6e-04,2,"pi_uc"
"66",2000-05-28,"1999/2000",0.0105,15236889,0.0117,0.0224,8e-04,0.0118,0.0223,0.0011,0,0,0,0,0,0,0,0,0,0,0,0,-1e-04,1e-04,-4e-04,2,"pi_uc"
